problem_id,display_ev,pid,sigma,alpha,cost,probabilities,payoff_matrix,choice,best_choice,bad_choice,payoff_gross_relative_bestBet,payoff_net_relative_bestBet,payoff_gross_bestBet,payoff_net_bestBet,nr_clicks,payoff_gross,payoff_net,payoff_gross_relative,payoff_net_relative,payoff_perfect,processing_pattern,click_var_gamble,click_var_outcome,strategy,Rand,WADD,TTB,SAT_TTB,TTB_SAT,Other,payoff_gross_relative_by_strategy,payoff_net_relative_by_strategy,payoff_gross_by_strategy,payoff_net_by_strategy,R_TTB_SAT,R_SAT_TTB,R_TTB,R_WADD,R_Rand,R_Other,R_sigma,R_alpha,R_cost,payoff_gross_modelDiff,payoff_net_modelDiff,payoff_gross_relative_modelDiff,payoff_net_relative_modelDiff,under_performance,under_performance_exclude,km_strategy,km_Rand,km_TTB,km_SAT_TTB,km_TTB_SAT,km_WADD,cluster_centers,cluster_points
Z6igLUgOZ1o22OJ,False,180,75,0.3,4,"[0.029999999999999992, 0.01, 0.77, 0.19]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",3,3,False,1.2060655378548402,1.0182779881693842,77.07,65.07,3,77.07,65.07,1.2060655378548402,1.0182779881693842,63.902,-1.0,0.02777777777777778,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.20606554 0.         0.         0.         0.        ],[0.         1.01827799 0.         0.         0.         0.        ],[ 0.   77.07  0.    0.    0.    0.  ],[ 0.   65.07  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27.499999999999968,28.5,0.4303464680291696,0.4459954305029577,"[{'trial_counts': [[585.5839999999989, 302.5979999999995, 257.6509999999999, 16.721999999999998, 524.4459999999968, 173.30599999999978], [435.826000000002, 379.3860000000012, 190.20400000000004, 17.804000000000002, 518.6330000000032, 156.60700000000028], [200.59000000000017, 58.01599999999997, 122.14500000000012, 6.474, 133.92099999999974, 40.08700000000004], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], 'model_performance': 37.25155620631068, 'human_performance': 20.417840614886728, 'human_performance_pct': 54.81070509324869, 'peformance_gap_abs': 16.833715591423953, 'peformance_gap_pct': 45.18929490675131, 'implicit_costs': 0.12179973781491528, 'implicit_costs_model_fraction': 0.12179973781491528, 'imperfect_info_use': 0.042031540443319526, 'imperfect_strat_selec_and_exec': 0.28806167080927836, 'imperfect_strat_selec_and_exec_by_strat': [[0.003727154968951616, 0.006298236192205393, 0.006946365432278431, 0.0029340405173248, 0.08230931402275031, 0.007060103692258853], [0.00808484324924499, 0.01300638026117518, 0.0010648110568150387, 0.004773372875387183, 0.10783248186069518, 0.01746806882292295], [0.0019563515130991234, 0.0006709900821015055, 1.1798558358203225e-18, 0.0017272434720634019, 0.019694306272083843, 0.0025076065179205865], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]], 'imperfect_strat_selec': 0.2713281355791516, 'imperfect_strat_exec': 0.016733535230126797, 'imperfect_strat_selec_by_strat': [0.010041194762344115, 0.006969226274306899, 0.00801117648909347, 0.009434656864775385, 0.20983610215552934, 0.027035779033102388], 'imperfect_strat_exec_by_strat': [0.003727154968951616, 0.01300638026117518, 1.1798558358203225e-18, 0.0, 0.0, 0.0], 'nr_clicks_dif': 3.0529252427184472, 'peformance_gap_points': 22.66373937783171, 'peformance_gap_gross_abs': 0.40239910957615005, 'peformance_gap_gross_pct': 45.63058034093942, 'imperfect_info_use_points_lost': 5.274611610793132}]","[{'trial_counts': [[697.883, 289.84400000000056, 307.84799999999905, 15.633000000000003, 371.08099999999894, 176.94700000000003], [232.40900000000002, 212.52999999999994, 98.41100000000014, 4.204000000000001, 213.4830000000004, 84.66899999999995], [86.62399999999985, 23.61199999999997, 62.191999999999915, 1.656, 75.35199999999985, 25.342000000000013], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [6.083999999999999, 1.014, 3.5490000000000004, 0.507, 6.083999999999999, 3.0420000000000003]], 'model_performance': 39.166833860000004, 'human_performance': 24.950228888888887, 'human_performance_pct': 63.70244012592976, 'peformance_gap_abs': 14.216604971111117, 'peformance_gap_pct': 36.29755987407024, 'implicit_costs': 0.037604207901969486, 'implicit_costs_model_fraction': 0.037604207901969486, 'imperfect_info_use': 0.03717294770036511, 'imperfect_strat_selec_and_exec': 0.28819844313836773, 'imperfect_strat_selec_and_exec_by_strat': [[0.028134662367795948, 0.01399931998486012, 0.01217448505124904, 0.001790701036767412, 0.10232488678765857, 0.01804965367365708], [0.010669802538216894, 0.010069929609572191, 0.001703327707616167, 0.0005538811249728105, 0.06304156206763116, 0.01010726119489309], [0.002149462994658348, 0.0006094082921956513, 2.588715345747044e-17, 2.3926706373129918e-05, 0.01115569364136611, 0.0014637277942418185], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-9.891021607330699e-05, -6.482602114522777e-05, -0.0005360303075567497, 0.0001066769914294012, 0.0008196404160405125, -4.98002980524798e-05]], 'imperfect_strat_selec': 0.25004365145905205, 'imperfect_strat_exec': 0.03815479167931569, 'imperfect_strat_selec_by_strat': [0.012720355316801935, 0.014543902255910544, 0.013341782451308458, 0.0024751858595427534, 0.17734178291269637, 0.02962064266279199], 'imperfect_strat_exec_by_strat': [0.028134662367795948, 0.010069929609572191, 2.588715345747044e-17, 0.0, 0.0, -4.98002980524798e-05], 'nr_clicks_dif': 2.743756000000001, 'peformance_gap_points': 19.14968897111111, 'peformance_gap_gross_abs': 0.34014478315954677, 'peformance_gap_gross_pct': 37.91811415386138, 'imperfect_info_use_points_lost': 5.823786666666666}]",SAT_TTB,False,False,True,False,False,"[[0.2217, 0.0005817, 0.0, -0.0, 0.0, 0.0, 0.11865, 0.0651, 0.02501, 0.011055, 0.005817, 0.004654, 0.0611, 0.02792, 0.01628, 0.00756, 0.00349, 0.002909, 0.04596, 0.01746, 0.012215, 0.00756, 0.00756, 0.004654], [1.0, 1.0, 1.0, 1.0, 1.0, 0.8984, 0.304, 0.1313, 0.0, 0.0, -0.0, 0.002068, 0.04758, 0.00517, 0.003103, 0.001034, 0.0, -0.0, 0.02792, 0.001034, 0.001034, 0.0, 0.0, 0.001034], [1.0, 1.0, 0.6543, 0.1393, 0.0, 0.0, 0.217, 0.0711, 0.03842, 0.02498, 0.02402, 0.01249, 0.0538, 0.01633, 0.01057, 0.008644, 0.003843, 0.000961, 0.0394, 0.01249, 0.005764, 0.001922, 0.005764, 0.000961], [0.994, 0.9824, 0.9556, 0.897, 0.7993, 0.705, 1.0, 0.997, 0.764, 0.4749, 0.354, 0.2832, 0.4219, 0.2507, 0.0856, 0.02065, 0.00295, 0.00295, 0.2744, 0.1593, 0.06195, 0.0236, 0.01475, 0.0059], [0.963, 0.963, 0.9443, 0.907, 0.8706, 0.815, 0.9814, 0.9443, 0.926, 0.907, 0.8706, 0.852, 1.0, 1.0, 0.963, 0.8887, 0.8887, 0.8887, 0.907, 0.926, 0.8887, 0.852, 0.778, 0.7036]]","[0.4172, 0.2347, 0.2527, 0.0823, 0.01311]"
3uXiz4V3sUrSmY9,False,180,75,0.3,4,"[0.06, 0.26, 0.14, 0.54]","[[-101, -31, 34, -10, 30, -23], [-98, -42, -2, 84, 60, -107], [65, -46, -22, -61, -87, 97], [84, 85, 84, 93, 18, -17]]",3,3,False,0.9846327188507402,0.6090576194798285,62.92,38.92,6,62.92,38.92,0.9846327188507402,0.6090576194798285,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.98463272 0.         0.         0.        ],[0.         0.         0.60905762 0.         0.         0.        ],[ 0.    0.   62.92  0.    0.    0.  ],[ 0.    0.   38.92  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,13.34999999999998,2.3500000000000014,0.2089136490250696,0.03677506181340196,,,TTB,False,True,False,False,False,,
si1lNmExwYp0qHd,False,180,75,0.3,4,"[0.06, 0.07, 0.81, 0.06]","[[-69, 74, -146, 18, -66, -39], [-59, 123, 55, -117, -17, -38], [32, 53, 83, 32, -9, -48], [-24, -104, 109, 21, 25, 52]]",2,2,False,1.077587555945041,0.7020124565741294,68.86000000000001,44.86000000000002,6,68.86000000000001,44.86000000000002,1.077587555945041,0.7020124565741294,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         1.07758756 0.         0.         0.        ],[0.         0.         0.70201246 0.         0.         0.        ],[ 0.    0.   68.86  0.    0.    0.  ],[ 0.    0.   44.86  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,19.289999999999992,8.290000000000019,0.30186848611937034,0.1297298989077028,,,TTB,False,True,False,False,False,,
klD1PHboiI6GI83,False,180,75,0.3,4,"[0.02000000000000001, 0.04, 0.64, 0.3]","[[-56, 69, -45, 13, -11, -81], [158, 111, -15, 70, 133, 4], [-22, 1, -38, -46, -67, -123], [-17, 31, -20, -11, -19, -48]]",1,1,False,0.2466276485868987,-0.12894745078401298,15.76,-8.24,6,15.76,-8.24,0.2466276485868987,-0.12894745078401298,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.24662765 0.         0.         0.        ],[-0.         -0.         -0.12894745 -0.         -0.         -0.        ],[ 0.    0.   15.76  0.    0.    0.  ],[-0.   -0.   -8.24 -0.   -0.   -0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-33.810000000000024,-44.81,-0.5290914212387721,-0.7012300084504395,,,TTB,False,True,False,False,False,,
mlhb2P64mtEuQDH,False,180,75,0.3,4,"[0.5, 0.19, 0.15, 0.16]","[[-53, 18, 23, -85, 45, -33], [-49, 130, -42, -100, 156, -80], [-29, 8, -51, -42, 21, 17], [4, 19, 36, -77, -8, 23]]",4,4,False,0.8452004632092892,0.4696253638383775,54.01,30.01,6,54.01,30.01,0.8452004632092892,0.4696253638383775,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.84520046 0.         0.         0.        ],[0.         0.         0.46962536 0.         0.         0.        ],[ 0.    0.   54.01  0.    0.    0.  ],[ 0.    0.   30.01  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.439999999999976,-6.559999999999999,0.06948139338361857,-0.10265719382804904,,,TTB,False,True,False,False,False,,
Q8ZMcp5SHNKniCj,False,180,75,0.3,4,"[0.06, 0.48, 0.03, 0.43]","[[-64, -14, -37, -37, -139, 10], [-30, 23, 34, -38, 29, 130], [50, -10, -34, 126, -54, 94], [-47, -75, -77, -33, 38, -38]]",2,2,False,-0.3134487183499734,-0.6890238177208851,-20.03,-44.03,6,-20.03,-44.03,-0.3134487183499734,-0.6890238177208851,63.902,,0.0,0.0625,TTB_SAT,False,False,False,False,True,False,[-0.31344872 -0.         -0.         -0.         -0.         -0.        ],[-0.68902382 -0.         -0.         -0.         -0.         -0.        ],[-20.03  -0.    -0.    -0.    -0.    -0.  ],[-44.03  -0.    -0.    -0.    -0.    -0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,-69.60000000000002,-80.6,-1.089167788175644,-1.2613063753873115,,,SAT_TTB,False,False,True,False,False,,
55wGWrG0AsulSFG,False,180,75,0.3,4,"[0.51, 0.17, 0.01, 0.31]","[[61, -42, -94, -52, -163, 53], [85, -65, -84, 88, 40, 87], [53, -6, 64, -32, 83, -117], [101, 67, 39, -108, -29, 8]]",0,0,False,1.2112296954711903,1.0234421457857346,77.4,65.4,3,77.4,65.4,1.2112296954711903,1.0234421457857346,63.902,-1.0,0.02777777777777778,0.1875,TTB_SAT,False,False,False,False,True,False,[1.2112297 0.        0.        0.        0.        0.       ],[1.02344215 0.         0.         0.         0.         0.        ],[77.4  0.   0.   0.   0.   0. ],[65.4  0.   0.   0.   0.   0. ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27.829999999999984,28.830000000000005,0.4355106256455197,0.45115958811930795,,,SAT_TTB,False,False,True,False,False,,
Gq2ftjqDBmr2chN,False,180,75,0.3,4,"[0.03, 0.03, 0.2, 0.74]","[[26, 3, -7, -50, 62, 37], [170, -11, -37, 11, -44, 59], [-158, -3, -108, -8, -23, -72], [5, 21, 96, 148, 8, -72]]",3,3,False,1.6705267440768676,1.294951644705956,106.75,82.75,6,106.75,82.75,1.6705267440768676,1.294951644705956,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         1.67052674 0.         0.         0.        ],[0.         0.         1.29495164 0.         0.         0.        ],[  0.     0.   106.75   0.     0.     0.  ],[ 0.    0.   82.75  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,57.17999999999998,46.18,0.894807674251197,0.7226690870395294,,,TTB,False,True,False,False,False,,
PCWdMJAPeV3vIAW,False,180,75,0.3,4,"[0.06000000000000001, 0.04, 0.88, 0.02]","[[-131, 85, 56, -12, -48, 108], [77, -51, -7, -137, 64, 40], [-42, 53, -43, -68, 81, 65], [67, -79, -44, 141, 59, -110]]",4,4,False,1.1289161528590654,0.7533410534881537,72.14,48.14,6,72.14,48.14,1.1289161528590654,0.7533410534881537,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         1.12891615 0.         0.         0.        ],[0.         0.         0.75334105 0.         0.         0.        ],[ 0.    0.   72.14  0.    0.    0.  ],[ 0.    0.   48.14  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,22.569999999999986,11.57,0.3531970830333948,0.1810584958217272,,,TTB,False,True,False,False,False,,
q8OiXnEuGsljtb2,False,180,75,0.3,4,"[0.06, 0.01, 0.6, 0.33]","[[15, 90, 55, -167, -78, -16], [-46, -81, 39, 134, 26, -7], [46, -19, 69, -177, 14, -104], [-32, -73, -15, 28, 203, 27]]",2,2,False,0.6281493536978497,0.25257425432693803,40.13999999999999,16.139999999999993,6,40.13999999999999,16.139999999999993,0.6281493536978497,0.25257425432693803,63.902,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.62814935 0.         0.         0.        ],[0.         0.         0.25257425 0.         0.         0.        ],[ 0.    0.   40.14  0.    0.    0.  ],[ 0.    0.   16.14  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-9.430000000000028,-20.430000000000007,-0.14756971612782088,-0.3197083033394885,,,TTB,False,True,False,False,False,,
