problem_id,display_ev,pid,sigma,alpha,cost,best_choice,bad_choice,payoff_gross_relative_bestBet,payoff_net_relative_bestBet,payoff_gross_bestBet,payoff_net_bestBet,nr_clicks,payoff_gross,payoff_net,payoff_gross_relative,payoff_net_relative,payoff_perfect,processing_pattern,click_var_gamble,click_var_outcome,strategy,Rand,WADD,TTB,SAT_TTB,TTB_SAT,Other,payoff_gross_relative_by_strategy,payoff_net_relative_by_strategy,payoff_gross_by_strategy,payoff_net_by_strategy,R_TTB_SAT,R_SAT_TTB,R_TTB,R_WADD,R_Rand,R_Other,R_sigma,R_alpha,R_cost,payoff_gross_modelDiff,payoff_net_modelDiff,payoff_gross_relative_modelDiff,payoff_net_relative_modelDiff,under_performance,km_strategy,km_TTB_SAT,km_SAT_TTB,km_WADD,km_TTB,cluster_centers,cluster_points
Z6igLUgOZ1o22OJ,True,59,75,0.3,1,True,False,1.2805142109505858,1.2106171470340692,91.6,86.6,5,91.6,86.6,1.2805142109505858,1.2106171470340692,71.53376293418955,-1.0,0.005555555555555557,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.28051421 0.         0.         0.         0.        ],[0.         1.21061715 0.         0.         0.         0.        ],[ 0.  91.6  0.   0.   0.   0. ],[ 0.  86.6  0.   0.   0.   0. ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4210854715202004e-14,-0.06989999999996144,2.220446049250313e-16,-0.0009771609535529358,"[{'trial_counts': [[1207.0501999999994, 258.1172, 399.3289000000001, 15.8214, 38.157399999999996, 183.4861999999999], [172.87070000000006, 139.5647999999998, 72.5908, 0.4476, 14.042899999999998, 27.238599999999998], [128.00399999999985, 47.658599999999986, 133.88569999999996, 0.467, 5.6966, 23.0926], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [8.075099999999992, 0.6594, 1.1945999999999992, 0.26399999999999996, 0.1031, 2.1826]], 'model_performance': 37.95327847986111, 'human_performance': 33.418649305555554, 'human_performance_pct': 88.05207519368389, 'peformance_gap_abs': 4.534629174305557, 'peformance_gap_pct': 11.94792480631611, 'implicit_costs': -0.0008212867203988532, 'implicit_costs_model_fraction': -0.0008212867203988532, 'imperfect_info_use': 0.018685345964649366, 'imperfect_strat_selec_and_exec': 0.10161518881891074, 'imperfect_strat_selec_and_exec_by_strat': [[0.03399547729062345, 0.008779764623310465, 0.011510424775986973, 0.0019305051157243625, 0.0026309345050002284, 0.006598597651293127], [0.015746383045167296, 0.00557121497095544, 0.0024723085511653906, 7.89658761753144e-05, 0.004703492834600192, 0.005394753006727892], [0.0023792222709969396, -0.002688478904287018, 5.668311901198921e-16, 7.690376475770824e-05, 0.0011097580329889462, 0.0016096367275524246], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-0.00013448560957320048, -8.452800545959012e-05, -0.00020377425485835864, 2.4163481260778074e-05, -1.7461021440105734e-05, 0.00013141009024150168]], 'imperfect_strat_selec': 0.061917086467089766, 'imperfect_strat_exec': 0.03969810235182096, 'imperfect_strat_selec_by_strat': [0.017991119706591036, 0.006006757713563857, 0.013778959072294004, 0.002110538237918163, 0.008426724351149259, 0.013602987385573443], 'imperfect_strat_exec_by_strat': [0.03399547729062345, 0.00557121497095544, 5.668311901198921e-16, 0.0, 0.0, 0.00013141009024150168], 'nr_clicks_dif': 0.2745861805555547, 'peformance_gap_points': 5.313005146527765, 'peformance_gap_gross_abs': 0.09468086501750428, 'peformance_gap_gross_pct': 88.48897529857588, 'imperfect_info_use_points_lost': 10.011813725490196}]",TTB_SAT,True,False,False,False,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.916, 0.2338, 0.0, -0.0, -0.0, -0.0, 0.002205, 0.03857, 0.011024, 0.005512, 0.003307, 0.003307, 0.00441, 0.01213, 0.00441, -0.0, 0.0, 0.0, 0.0], [0.838, 0.4468, -0.0, 0.003273, 0.0, 0.0, 0.4485, 0.1604, 0.11786, 0.05563, 0.04092, 0.03763, 0.1816, 0.06055, 0.03763, 0.01637, 0.00819, 0.00491, 0.11456, 0.04254, 0.03928, 0.01309, 0.01146, 0.01309], [1.0, 1.0, 1.0, 0.9946, 0.9546, 0.8975, 1.0, 0.9507, 0.4897, 0.29, 0.2073, 0.1619, 0.3667, 0.2422, 0.1062, 0.0557, 0.04144, 0.03238, 0.2578, 0.1554, 0.06866, 0.04016, 0.03108, 0.0285], [1.0, 1.0, 1.0, 0.2932, 0.0, 0.0, 0.3457, 0.1559, 0.04407, 0.05423, 0.0373, 0.02034, 0.0729, 0.02203, 0.00339, 0.005085, 0.00848, 0.001695, 0.03897, 0.01017, 0.00848, 0.001695, 0.005085, 0.0]]","[0.315, 0.2122, 0.268, 0.2048]"
3uXiz4V3sUrSmY9,True,59,75,0.3,1,True,False,0.8795846523254461,0.7957081756256261,62.92,56.92,6,62.92,56.92,0.8795846523254461,0.7957081756256261,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.87958465 0.         0.         0.        ],[0.         0.         0.79570818 0.         0.         0.        ],[ 0.    0.   62.92  0.    0.    0.  ],[ 0.    0.   56.92  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.4210854715202004e-14,1.7384000000000128,-2.220446049250313e-16,0.024301811182494748,,TTB_SAT,True,False,False,False,,
si1lNmExwYp0qHd,True,59,75,0.3,1,True,False,0.9626223642582679,0.8787458875584481,68.86000000000001,62.86000000000002,6,68.86000000000001,62.86000000000002,0.9626223642582679,0.8787458875584481,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.96262236 0.         0.         0.        ],[0.         0.         0.87874589 0.         0.         0.        ],[ 0.    0.   68.86  0.    0.    0.  ],[ 0.    0.   62.86  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.3306690738754696e-16,-2.220446049250313e-16,,TTB_SAT,True,False,False,False,,
klD1PHboiI6GI83,True,59,75,0.3,1,True,False,0.22031554546486065,0.12245965598173725,15.76,8.76,7,15.76,8.76,0.22031554546486065,0.12245965598173725,71.53376293418955,-1.0,0.002834467120181407,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[0.22031555 0.         0.         0.         0.         0.        ],[0.12245966 0.         0.         0.         0.         0.        ],[15.76  0.    0.    0.    0.    0.  ],[8.76 0.   0.   0.   0.   0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.3290705182007506e-15,0.5426999999999982,0.0,0.0075866273174986934,,TTB_SAT,True,False,False,False,,
mlhb2P64mtEuQDH,True,59,75,0.3,1,True,False,0.7550280844262133,0.6711516077263933,54.01,48.01,6,54.01,48.01,0.7550280844262133,0.6711516077263933,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.75502808 0.         0.         0.        ],[0.         0.         0.67115161 0.         0.         0.        ],[ 0.    0.   54.01  0.    0.    0.  ],[ 0.    0.   48.01  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.7845999999999975,3.3306690738754696e-16,0.02494766005308313,,TTB_SAT,True,False,False,False,,
Q8ZMcp5SHNKniCj,True,59,75,0.3,1,True,False,0.6917013445178491,0.6078248678180291,49.48,43.48,6,49.48,43.48,0.6917013445178491,0.6078248678180291,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.69170134 0.         0.         0.        ],[0.         0.         0.60782487 0.         0.         0.        ],[ 0.    0.   49.48  0.    0.    0.  ],[ 0.    0.   43.48  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.4210854715202004e-14,3.9575999999999993,0.0,0.05532492403120115,,TTB_SAT,True,False,False,False,,
55wGWrG0AsulSFG,True,59,75,0.3,1,True,False,1.0820065494276785,0.9841506599445552,77.4,70.4,7,77.4,70.4,1.0820065494276785,0.9841506599445552,71.53376293418955,-1.0,0.002834467120181407,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[1.08200655 0.         0.         0.         0.         0.        ],[0.98415066 0.         0.         0.         0.         0.        ],[77.4  0.   0.   0.   0.   0. ],[70.4  0.   0.   0.   0.   0. ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1664000000000243,0.0,0.002326174287141436,,TTB_SAT,True,False,False,False,,
Gq2ftjqDBmr2chN,True,59,75,0.3,1,True,False,0.6726893431325567,0.6307511047826466,48.12,45.12,3,48.12,45.12,0.6726893431325567,0.6307511047826466,71.53376293418955,-1.0,0.02777777777777778,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         0.67268934 0.         0.         0.         0.        ],[0.        0.6307511 0.        0.        0.        0.       ],[ 0.   48.12  0.    0.    0.    0.  ],[ 0.   45.12  0.    0.    0.    0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-58.63,-58.08100000000001,-0.8196129714850748,-0.8119382738670409,,TTB,False,False,False,True,,
PCWdMJAPeV3vIAW,True,59,75,0.3,1,True,False,1.0084748381875028,0.9245983614876828,72.14,66.14,6,72.14,66.14,1.0084748381875028,0.9245983614876828,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         1.00847484 0.         0.         0.        ],[0.         0.         0.92459836 0.         0.         0.        ],[ 0.    0.   72.14  0.    0.    0.  ],[ 0.    0.   66.14  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.440892098500626e-16,,TTB_SAT,True,False,False,False,,
q8OiXnEuGsljtb2,True,59,75,0.3,1,True,False,0.5611336291217959,0.4632777396386726,40.13999999999999,33.13999999999999,7,40.13999999999999,33.13999999999999,0.5611336291217959,0.4632777396386726,71.53376293418955,-1.0,0.002834467120181405,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[0.56113363 0.         0.         0.         0.         0.        ],[0.46327774 0.         0.         0.         0.         0.        ],[40.14  0.    0.    0.    0.    0.  ],[33.14  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-2.220446049250313e-16,0.013979412783303393,,TTB_SAT,True,False,False,False,,
nQ4KJRm5qzDmfGs,True,59,75,0.3,1,True,False,0.3883480871201668,0.3044716104203468,27.78,21.78,6,27.78,21.78,0.3883480871201668,0.3044716104203468,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.38834809 0.         0.         0.        ],[0.         0.         0.30447161 0.         0.         0.        ],[ 0.    0.   27.78  0.    0.    0.  ],[ 0.    0.   21.78  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.105427357601002e-15,1.5527000000000049,0.0,0.0217058342286352,,TTB_SAT,True,False,False,False,,
02RpShoPR0hc5AX,True,59,75,0.3,1,True,False,0.6385795759412964,0.5826619248080831,45.67999999999999,41.67999999999999,4,45.67999999999999,41.67999999999999,0.6385795759412964,0.5826619248080831,71.53376293418955,-0.3333333333333333,0.03472222222222223,0.09375,TTB_SAT,False,False,False,False,True,False,[0.63857958 0.         0.         0.         0.         0.        ],[0.58266192 0.         0.         0.         0.         0.        ],[45.68  0.    0.    0.    0.    0.  ],[41.68  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.335945000000009,4.861254999999994,-0.03265513939409348,0.06795749028989706,,TTB,False,False,False,True,,
lIbaNiqegro6KIA,True,59,75,0.3,1,True,False,0.6415152526257902,0.5436593631426668,45.89,38.89,7,45.89,38.89,0.6415152526257902,0.5436593631426668,71.53376293418955,-1.0,0.002834467120181407,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[0.64151525 0.         0.         0.         0.         0.        ],[0.54365936 0.         0.         0.         0.         0.        ],[45.89  0.    0.    0.    0.    0.  ],[38.89  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.105427357601002e-15,1.000000000000007,-1.1102230246251563e-16,0.01397941278330328,,TTB_SAT,True,False,False,False,,
IBOZgXFSkyvyiUf,True,59,75,0.3,1,True,False,0.4997640070030944,0.40190811751997096,35.75,28.75,7,35.75,28.75,0.4997640070030944,0.40190811751997096,71.53376293418955,-1.0,0.002834467120181405,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[0.49976401 0.         0.         0.         0.         0.        ],[0.40190812 0.         0.         0.         0.         0.        ],[35.75  0.    0.    0.    0.    0.  ],[28.75  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9993000000000016,1.1102230246251563e-16,0.02794903997765841,,TTB_SAT,True,False,False,False,,
VHZfp8VcgwqWdru,True,59,75,0.3,1,True,False,1.3341951560384706,1.2083804409887406,95.44,86.44,9,95.44,86.44,1.3341951560384706,1.2083804409887406,71.53376293418955,0.0,0.00308641975308642,0.07638888888888888,TTB_SAT,False,False,False,False,True,False,[1.33419516 0.         0.         0.         0.         0.        ],[1.20838044 0.         0.         0.         0.         0.        ],[95.44  0.    0.    0.    0.    0.  ],[86.44  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-4.263256414560601e-14,-3.3627000000000464,-4.440892098500626e-16,-0.04700857136641412,,WADD,False,False,True,False,,
12Smwv1zSNyuuxE,True,59,75,0.3,1,True,False,0.5303789209985285,0.4465024442987084,37.939999999999976,31.93999999999999,6,37.939999999999976,31.93999999999999,0.5303789209985285,0.4465024442987084,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         0.53037892 0.         0.         0.        ],[0.         0.         0.44650244 0.         0.         0.        ],[ 0.    0.   37.94  0.    0.    0.  ],[ 0.    0.   31.94  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.4210854715202004e-14,1.5532999999999932,-1.1102230246251563e-16,0.021714221876305062,,TTB_SAT,True,False,False,False,,
rVjVpCboG0KJwv1,True,59,75,0.3,1,True,False,1.113040845806612,1.0291643691067918,79.62,73.62,6,79.62,73.62,1.113040845806612,1.0291643691067918,71.53376293418955,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0.         0.         1.11304085 0.         0.         0.        ],[0.         0.         1.02916437 0.         0.         0.        ],[ 0.    0.   79.62  0.    0.    0.  ],[ 0.    0.   73.62  0.    0.    0.  ],0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8421709430404014e-14,-0.8370999999999924,0.0,-0.01170216644090294,,TTB_SAT,True,False,False,False,,
YwmSZ9XOPRdJfbN,True,59,75,0.3,1,True,False,1.2588461211364657,1.1470108188700392,90.05,82.05,8,90.05,82.05,1.2588461211364657,1.1470108188700392,71.53376293418955,0.2,0.008680555555555556,0.0703125,TTB_SAT,False,False,False,False,True,False,[1.25884612 0.         0.         0.         0.         0.        ],[1.14701082 0.         0.         0.         0.         0.        ],[90.05  0.    0.    0.    0.    0.  ],[82.05  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.229200000000019,5.1055000000000215,0.10105997089305664,0.07137189196515538,,WADD,False,False,True,False,,
WdVOkNPSiCkiKDf,True,59,75,0.3,1,True,False,1.6716581806274131,1.6297199422775033,119.58,116.58,3,119.58,116.58,1.6716581806274131,1.6297199422775033,71.53376293418955,-1.0,0.02777777777777778,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         1.67165818 0.         0.         0.         0.        ],[0.         1.62971994 0.         0.         0.         0.        ],[  0.   119.58   0.     0.     0.     0.  ],[  0.   116.58   0.     0.     0.     0.  ],0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.19798399999999,23.13758399999999,0.3242941940764661,0.3234498375443544,,TTB,False,False,False,True,,
EDYV3TvmyqJrQOZ,True,59,75,0.3,1,True,False,0.3253009354674687,0.213465633201042,23.27,15.27,8,23.27,15.27,0.3253009354674687,0.213465633201042,71.53376293418955,-0.6666666666666666,0.008680555555555558,0.0859375,TTB_SAT,False,False,False,False,True,False,[0.32530094 0.         0.         0.         0.         0.        ],[0.21346563 0.         0.         0.         0.         0.        ],[23.27  0.    0.    0.    0.    0.  ],[15.27  0.    0.    0.    0.    0.  ],1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.2462000000000053,0.0,-0.003441731427249184,,TTB_SAT,True,False,False,False,,
