problem_id,display_ev,pid,sigma,alpha,cost,probabilities,payoff_matrix,choice,best_choice,bad_choice,nr_clicks,payoff_gross,payoff_net,payoff_gross_relative,payoff_net_relative,payoff_perfect,payoff_gross_relative_bestBet,payoff_net_relative_bestBet,payoff_gross_bestBet,payoff_net_bestBet,processing_pattern,click_var_gamble,click_var_outcome,strategy,Rand,WADD,TTB,SAT_TTB,TTB_SAT,Other,payoff_gross_relative_by_strategy,payoff_net_relative_by_strategy,payoff_gross_by_strategy,payoff_net_by_strategy,under_performance,km_strategy,km_TTB_SAT,km_TTB,km_SAT_TTB,km_WADD,cluster_centers,cluster_points
Z6igLUgOZ1o22OJ,True,59,75,0.3,1,"[0.029999999999999992, 0.01, 0.77, 0.19]","[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]",4,4,False,5,91.6,86.6,1.0,0.945414847161572,91.6,1.0,0.945414847161572,91.6,86.6,-1.0,0.005555555555555557,0.1875,SAT_TTB,False,False,False,True,False,False,[0. 1. 0. 0. 0. 0.],[0.         0.94541485 0.         0.         0.         0.        ],[ 0.  91.6  0.   0.   0.   0. ],[ 0.  86.6  0.   0.   0.   0. ],"[{'trial_counts': [[1292.0160000000008, 297.1929999999997, 399.97999999999996, 240.26799999999986, 181.62099999999998, 323.2100000000001], [190.3100000000002, 147.0269999999998, 71.20499999999998, 48.429000000000016, 43.70000000000001, 47.333], [189.92099999999988, 74.78899999999997, 173.46499999999997, 42.00999999999999, 26.363999999999994, 53.35499999999998], [17.112, 2.232, 2.9760000000000004, 7.4399999999999995, 3.7200000000000006, 4.464], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [36.64100000000001, 6.7589999999999995, 11.373999999999999, 8.853000000000005, 6.5950000000000015, 9.638]], 'model_performance': 0.5262004845953234, 'human_performance': 0.2209797337626616, 'human_performance_pct': 41.99534972542014, 'peformance_gap_abs': 0.3052207508326618, 'peformance_gap_pct': 58.00465027457986, 'implicit_costs': 0.007476641407659459, 'implicit_costs_model_fraction': 0.007476641407659459, 'imperfect_info_use': 0.15845283857321518, 'imperfect_strat_selec_and_exec': 0.414117022764924, 'imperfect_strat_selec_and_exec_by_strat': [[0.06778822647028729, 0.019147395293346924, 0.019028635240953447, 0.08042503001924556, 0.04083770869742329, 0.04079683052468712], [0.022900310922148157, 0.0046635092769235715, 0.0028741867495826836, 0.037800809580585425, 0.01367071554464698, 0.013381308334809012], [0.005270977637220034, -0.00476345662509238, -7.787557239400107e-17, 0.03076768899385627, 0.005726559201089193, 0.00819489599983199], [0.00239879741141406, -7.143488574090942e-05, 0.00018447009835338403, 0.0010351187705151478, 0.0006842530041233413, 0.0008097401175581041], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [-0.00020109425253829192, -0.00033954628953057674, -0.0024665784511974974, 0.002072237811938303, 0.0005636260507422999, 0.0009361015177421594]], 'imperfect_strat_selec': 0.3396940667294559, 'imperfect_strat_exec': 0.0744229560354681, 'imperfect_strat_selec_by_strat': [0.03036899171824396, 0.013972957492983058, 0.01962071363769202, 0.15106576640562555, 0.061482862498025107, 0.06318277497688622], 'imperfect_strat_exec_by_strat': [0.06778822647028729, 0.0046635092769235715, -7.787557239400107e-17, 0.0010351187705151478, 0.0, 0.0009361015177421594], 'nr_clicks_dif': -0.41655454545454873, 'peformance_gap_points': 11.321031095117924, 'peformance_gap_gross_abs': 0.24942428971672248, 'peformance_gap_gross_pct': 28.664965140577507, 'imperfect_info_use_points_lost': 18.688767908309465}]",TTB,False,True,False,False,"[[1.0, 1.0, 0.995, 0.9214, 0.84, 0.788, 0.999, 0.9844, 0.4983, 0.2678, 0.1903, 0.137, 0.3394, 0.2449, 0.0885, 0.02182, 0.0206, 0.008484, 0.2303, 0.1625, 0.06183, 0.01576, 0.01091, 0.007275], [1.0, 1.0, 1.0, 1.0, 0.8604, 0.788, 0.2507, 0.0, -0.0, -0.0, 0.0034, 0.0034, 0.06805, 0.01276, 0.004253, 0.00255, 0.0034, 0.0034, 0.04593, 0.00595, 0.0017, 0.00085, 0.00085, 0.0], [0.7744, 0.53, 0.299, 0.001922, -0.0, 0.0, 0.3503, 0.1442, 0.0769, 0.05124, 0.0346, 0.02562, 0.1653, 0.06726, 0.04227, 0.01985, 0.007687, 0.005764, 0.1211, 0.04932, 0.0397, 0.01602, 0.01345, 0.01217], [0.995, 0.9873, 0.9775, 0.9624, 0.937, 0.8745, 1.0, 1.0, 0.985, 0.9775, 0.907, 0.842, 0.9976, 0.9927, 0.9927, 0.965, 0.8945, 0.8516, 0.985, 0.9697, 0.9575, 0.945, 0.8794, 0.8315]]","[0.2084, 0.2969, 0.3943, 0.1005]"
3uXiz4V3sUrSmY9,True,59,75,0.3,1,"[0.06, 0.26, 0.14, 0.54]","[[-101, -31, 34, -10, 30, -23], [-98, -42, -2, 84, 60, -107], [65, -46, -22, -61, -87, 97], [84, 85, 84, 93, 18, -17]]",3,3,False,6,62.92,56.92,1.0,0.9046408137317228,62.92,1.0,0.9046408137317228,62.92,56.92,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.90464081 0.         0.         0.        ],[ 0.    0.   62.92  0.    0.    0.  ],[ 0.    0.   56.92  0.    0.    0.  ],,TTB,False,True,False,False,,
si1lNmExwYp0qHd,True,59,75,0.3,1,"[0.06, 0.07, 0.81, 0.06]","[[-69, 74, -146, 18, -66, -39], [-59, 123, 55, -117, -17, -38], [32, 53, 83, 32, -9, -48], [-24, -104, 109, 21, 25, 52]]",2,2,False,6,68.86000000000001,62.86000000000002,1.0,0.9128666860296254,68.86000000000001,1.0,0.9128666860296254,68.86000000000001,62.86000000000002,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.91286669 0.         0.         0.        ],[ 0.    0.   68.86  0.    0.    0.  ],[ 0.    0.   62.86  0.    0.    0.  ],,TTB,False,True,False,False,,
klD1PHboiI6GI83,True,59,75,0.3,1,"[0.02000000000000001, 0.04, 0.64, 0.3]","[[-56, 69, -45, 13, -11, -81], [158, 111, -15, 70, 133, 4], [-22, 1, -38, -46, -67, -123], [-17, 31, -20, -11, -19, -48]]",1,1,False,7,15.760000000000002,8.760000000000002,1.0,0.5558375634517767,15.760000000000002,1.0,0.5558375634517767,15.760000000000002,8.760000000000002,-1.0,0.002834467120181407,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[1. 0. 0. 0. 0. 0.],[0.55583756 0.         0.         0.         0.         0.        ],[15.76  0.    0.    0.    0.    0.  ],[8.76 0.   0.   0.   0.   0.  ],,TTB,False,True,False,False,,
mlhb2P64mtEuQDH,True,59,75,0.3,1,"[0.5, 0.19, 0.15, 0.16]","[[-53, 18, 23, -85, 45, -33], [-49, 130, -42, -100, 156, -80], [-29, 8, -51, -42, 21, 17], [4, 19, 36, -77, -8, 23]]",4,4,False,6,54.01,48.01,1.0,0.8889094612108869,54.01,1.0,0.8889094612108869,54.01,48.01,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.88890946 0.         0.         0.        ],[ 0.    0.   54.01  0.    0.    0.  ],[ 0.    0.   48.01  0.    0.    0.  ],,TTB,False,True,False,False,,
Q8ZMcp5SHNKniCj,True,59,75,0.3,1,"[0.06, 0.48, 0.03, 0.43]","[[-64, -14, -37, -37, -139, 10], [-30, 23, 34, -38, 29, 130], [50, -10, -34, 126, -54, 94], [-47, -75, -77, -33, 38, -38]]",5,5,False,6,49.47999999999999,43.47999999999999,1.0,0.8787388843977364,49.47999999999999,1.0,0.8787388843977364,49.47999999999999,43.47999999999999,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.87873888 0.         0.         0.        ],[ 0.    0.   49.48  0.    0.    0.  ],[ 0.    0.   43.48  0.    0.    0.  ],,TTB,False,True,False,False,,
55wGWrG0AsulSFG,True,59,75,0.3,1,"[0.51, 0.17, 0.01, 0.31]","[[61, -42, -94, -52, -163, 53], [85, -65, -84, 88, 40, 87], [53, -6, 64, -32, 83, -117], [101, 67, 39, -108, -29, 8]]",0,0,False,7,77.4,70.4,1.0,0.909560723514212,77.4,1.0,0.909560723514212,77.4,70.4,-1.0,0.002834467120181407,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[1. 0. 0. 0. 0. 0.],[0.90956072 0.         0.         0.         0.         0.        ],[77.4  0.   0.   0.   0.   0. ],[70.4  0.   0.   0.   0.   0. ],,TTB,False,True,False,False,,
Gq2ftjqDBmr2chN,True,59,75,0.3,1,"[0.03, 0.03, 0.2, 0.74]","[[26, 3, -7, -50, 62, 37], [170, -11, -37, 11, -44, 59], [-158, -3, -108, -8, -23, -72], [5, 21, 96, 148, 8, -72]]",2,2,False,3,48.11999999999999,45.11999999999999,0.4507728337236533,0.4226697892271662,106.75,0.4507728337236533,0.4226697892271662,48.11999999999999,45.11999999999999,-1.0,0.02777777777777778,0.1875,SAT_TTB,False,False,False,True,False,False,[0.         0.45077283 0.         0.         0.         0.        ],[0.         0.42266979 0.         0.         0.         0.        ],[ 0.   48.12  0.    0.    0.    0.  ],[ 0.   45.12  0.    0.    0.    0.  ],,SAT_TTB,False,False,True,False,,
PCWdMJAPeV3vIAW,True,59,75,0.3,1,"[0.06000000000000001, 0.04, 0.88, 0.02]","[[-131, 85, 56, -12, -48, 108], [77, -51, -7, -137, 64, 40], [-42, 53, -43, -68, 81, 65], [67, -79, -44, 141, 59, -110]]",4,4,False,6,72.14,66.14,1.0,0.9168283892431384,72.14,1.0,0.9168283892431384,72.14,66.14,-1.0,0.0,0.1875,TTB,False,False,True,False,False,False,[0. 0. 1. 0. 0. 0.],[0.         0.         0.91682839 0.         0.         0.        ],[ 0.    0.   72.14  0.    0.    0.  ],[ 0.    0.   66.14  0.    0.    0.  ],,TTB,False,True,False,False,,
q8OiXnEuGsljtb2,True,59,75,0.3,1,"[0.06, 0.01, 0.6, 0.33]","[[15, 90, 55, -167, -78, -16], [-46, -81, 39, 134, 26, -7], [46, -19, 69, -177, 14, -104], [-32, -73, -15, 28, 203, 27]]",2,2,False,7,40.13999999999999,33.13999999999999,0.5655910948288007,0.4669578695223332,70.97000000000001,0.5655910948288007,0.4669578695223332,40.13999999999999,33.13999999999999,-1.0,0.002834467120181405,0.12627551020408162,TTB_SAT,False,False,False,False,True,False,[0.56559109 0.         0.         0.         0.         0.        ],[0.46695787 0.         0.         0.         0.         0.        ],[40.14  0.    0.    0.    0.    0.  ],[33.14  0.    0.    0.    0.    0.  ],,TTB,False,True,False,False,,
