Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy,km_strategy,km_TTB,km_SAT_TTB,km_WADD,km_TTB_SAT,cluster_centers,cluster_points
0.0,0.0,0.563,0.0,0.4370000000000001,0.0,0.3,0.06425555555555558,0.1875,4.0,2.4330000000000003,84.26234999999998,"[82.65590389015978, 85.50927175843634, 0.0, 0.0, 0.0, 0.0]",1.1779381727411795,"[1.155480999457591, 1.1953694067108573, 0.0, 0.0, 0.0, 0.0]",74.53034999999998,"[69.00830663615524, 78.81655417406692, 0.0, 0.0, 0.0, 0.0]",1.041890527534072,"[0.964695603943591, 1.101809144956882, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.2,0.8,0.0,0.0,"[[1.0, 0.9995, 1.0, 1.0, 1.0, 0.6924, 0.2844, -0.0, -0.0, -0.0, -0.0, 0.00254, 0.0019045, 0.0019045, 5.77e-05, 0.0, 0.0, 0.001789, 0.0002309, 0.001443, -0.0, 0.0, -0.0, 0.00011545], [1.0, 0.753, 0.5073, 0.2239, -0.0, -0.0, 0.1635, 0.0675, 0.002617, 0.00223, 0.002956, 0.0002909, 0.019, 0.01008, 0.0002909, 0.0002909, 0.001745, 0.001454, 0.0001454, 0.0003877, 4.846e-05, 0.0001454, 0.0004363, 0.000824], [1.0, 1.0, 1.0, 0.9985, 0.9863, 0.952, 1.0, 1.0, 0.998, 0.775, 0.281, 0.06354, 0.6084, 0.457, 0.1826, 0.05786, 0.0, 0.0, 0.1643, 0.1037, 0.03928, 0.0, 0.004135, 0.0001088], [1.0, 0.9995, 1.0, 0.9995, 0.901, 0.7695, 1.0, 1.0, 0.2379, -0.0, 0.0006866, -0.0, 0.1063, 0.02763, 0.001287, 0.0004292, 0.0001717, 0.0002575, 0.00103, 0.00103, 0.0, 0.0001717, 0.0, 8.583e-05]]","[0.2947, 0.3508, 0.1564, 0.1981]"
0.0,0.0,0.7070000000000001,0.0,0.293,0.0,0.3,0.11,0.1875,4.0,1.39,39.88168,"[42.50607508532426, 38.794059405940175, 0.0, 0.0, 0.0, 0.0]",0.5575224672116131,"[0.5942099694158333, 0.5423181699756378, 0.0, 0.0, 0.0, 0.0]",34.32168,"[33.618703071672435, 34.613012729844066, 0.0, 0.0, 0.0, 0.0]",0.4797969321364466,"[0.4699697274782155, 0.4838695926242299, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.335,0.155,0.51,0.0,0.3,0.039097222222222235,0.1875,4.0,3.483,68.86,"[68.86000000000041, 68.86000000000033, 68.86000000000006, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582661, 0.9626223642582662, 0.9626223642582666, 0.0, 0.0, 0.0]",54.92800000000001,"[53.76980392156899, 61.34955223880627, 44.85999999999993, 0.0, 0.0, 0.0]",0.7678611853612861,"[0.7516702842968916, 0.8576307148171027, 0.6271164574589863, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB']",0.3,0.7,0.0,0.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,54.01,"[0.0, 0.0, 54.010000000000375, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.0, 0.0, 0.7550280844261964, 0.0, 0.0, 0.0]",30.009999999999994,"[0.0, 0.0, 30.009999999999373, 0.0, 0.0, 0.0]",0.4195221776269333,"[0.0, 0.0, 0.419522177626942, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.197,0.0,0.8029999999999999,0.0,0.3,0.04110192082388514,0.16372356575963715,4.0,3.872,49.48000000000001,"[49.480000000000246, 49.479999999999755, 0.0, 0.0, 0.0, 0.0]",0.6917013445178491,"[0.6917013445178523, 0.6917013445178509, 0.0, 0.0, 0.0, 0.0]",33.992,"[31.323088418430526, 44.87086294416221, 0.0, 0.0, 0.0, 0.0]",0.4751881993300471,"[0.4378783826491517, 0.6272683150394782, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.8951180472188874,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB']",0.3,0.7,0.0,0.0,,
0.0,0.0,0.037000000000000005,0.0,0.963,0.0,0.3,0.0162345776643991,0.111345660430839,4.0,5.738,77.4,"[77.40000000000019, 77.40000000000005, 0.0, 0.0, 0.0, 0.0]",1.0820065494276785,"[1.0820065494276663, 1.0820065494276792, 0.0, 0.0, 0.0, 0.0]",54.44799999999999,"[54.334579439253254, 57.40000000000004, 0.0, 0.0, 0.0, 0.0]",0.7611510672253002,"[0.7595655143884946, 0.8024182937616118, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.8021999999999999,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'TTB_SAT', 'SAT_TTB']",0.3,0.5,0.0,0.2,,
0.0,0.0,0.8490000000000001,0.0,0.151,0.0,0.3,0.07234166666666668,0.1875,4.0,2.241,77.78678000000002,"[106.75, 72.6354888103657, 0.0, 0.0, 0.0, 0.0]",1.0874135067040047,"[1.4923023146176317, 1.0154014807971072, 0.0, 0.0, 0.0, 0.0]",68.82278000000001,"[92.94867549668874, 64.53183745583081, 0.0, 0.0, 0.0, 0.0]",0.9621020505144732,"[1.299367902429526, 0.9021171934600956, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.1,0.9,0.0,0.0,,
0.0,0.0,0.498,0.0,0.502,0.0,0.3,0.03756944444444444,0.1875,4.0,3.437,70.60885999999998,"[69.50501992031866, 71.72156626505989, 0.0, 0.0, 0.0, 0.0]",0.9870704000984758,"[0.9716393639778588, 1.0026253802843244, 0.0, 0.0, 0.0, 0.0]",56.86086,"[52.357609561752874, 61.40028112449768, 0.0, 0.0, 0.0, 0.0]",0.7948814331536214,"[0.7319286364107738, 0.8583398748502259, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.1,0.9,0.0,0.0,,
0.0,0.0,0.17800000000000002,0.171,0.6509999999999999,0.0,0.3,0.014133333333333338,0.1875,4.0,4.225,40.13999999999999,"[40.139999999999645, 40.14000000000012, 40.14000000000011, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.5611336291217979, 0.5611336291217972, 0.5611336291217972, 0.0, 0.0, 0.0]",23.23999999999999,"[24.281321044546647, 26.252359550561803, 16.14, 0.0, 0.0, 0.0]",0.3248815530839695,"[0.3394386098056299, 0.3669925706929989, 0.2256277223225148, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-1.0,75.0,"['TTB', 'SAT_TTB', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB']",0.4,0.6,0.0,0.0,,
