sigma,alpha,baseline,sem
75,0.10000000000000002,83.44903436250813,0.011239604643451613
75,0.31622776601683805,71.56807475452152,0.011340106399776131
75,1.0000000000000004,59.63026348128844,0.007773392451389673
75,3.1622776601683813,52.36716323226973,0.003403263007563298
75,10.000000000000009,49.20921592212647,0.0013346347036111608
150,0.10000000000000002,166.89806872501626,0.022479209286903227
150,0.31622776601683805,143.13614950904304,0.022680212799552263
150,1.0000000000000004,119.26052696257688,0.015546784902779345
150,3.1622776601683813,104.73432646453946,0.006806526015126596
150,10.000000000000009,98.41843184425294,0.0026692694072223216
