Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy,km_strategy,km_WADD,km_SAT_TTB,km_TTB_SAT,km_TTB,cluster_centers,cluster_points
0.0,0.0,0.593,0.0,0.407,0.0,0.3,0.06888611111111112,0.1875,4.0,2.297,84.34952999999999,"[82.49643734643699, 85.62138279932485, 0.0, 0.0, 0.0, 0.0]",1.1791568979476283,"[1.1532517508177635, 1.1969366532290056, 0.0, 0.0, 0.0, 0.0]",75.16152999999998,"[69.38587223587193, 79.1255986509269, 0.0, 0.0, 0.0, 0.0]",1.0507140532946373,"[0.9699737493148068, 1.106129405267308, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB']",0.0,0.7,0.0,0.3,"[[1.0, 1.0, 1.0, 0.9995, 0.962, 0.9263, 1.0, 1.0, 0.982, 0.7427, 0.2505, 0.061, 0.616, 0.4785, 0.1676, -0.0, 0.000246, 0.0, 0.263, 0.1993, 0.0696, 0.0, 0.0, 0.0], [1.0, 0.7964, 0.5327, 0.2456, 0.0, 0.0, 0.2173, 0.0851, 0.0046, 0.0004544, 0.000511, 0.0, 0.0104, 0.00818, 5.68e-05, 0.001307, 0.000284, 5.68e-05, 0.0, 0.0001705, 0.0, 0.000568, 0.000284, 0.0], [1.0, 1.0, 1.0, 0.9995, 0.863, 0.746, 1.0, 1.0, 0.2612, 0.0, 0.001314, 0.00276, 0.0722, 0.01636, 0.000526, -0.0, 0.000263, 0.0, 0.001052, 0.0, 0.0004601, 6.574e-05, 0.000723, 0.000263], [1.0, 1.0, 1.0, 1.0, 1.0, 0.6973, 0.3748, -0.0, -0.0, 0.0, 0.0, 0.0001681, 0.0002241, 0.0001681, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0]]","[0.1383, 0.2993, 0.2588, 0.3037]"
0.0,0.0,0.025,0.0,0.975,0.0,0.3,0.0322367044595616,0.08851926870748297,4.0,4.899,56.47519999999998,"[56.30994871794814, 62.920000000000016, 0.0, 0.0, 0.0, 0.0]",0.7894901328196129,"[0.7871800169348465, 0.879584652325446, 0.0, 0.0, 0.0, 0.0]",36.8792,"[36.4166153846147, 54.92000000000001, 0.0, 0.0, 0.0, 0.0]",0.5155495599180006,"[0.509082898632332, 0.7677493500590198, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-0.6135,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']",0.0,0.8,0.2,0.0,,
0.0,0.0,0.193,0.16899999999999998,0.638,0.0,0.3,0.01026666666666667,0.1875,4.0,4.4910000000000005,68.86,"[68.86000000000044, 68.86000000000016, 68.8600000000001, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582755, 0.9626223642582664, 0.9626223642582665, 0.0, 0.0, 0.0]",50.89600000000002,"[51.90075235109758, 52.86000000000003, 44.85999999999991, 0.0, 0.0, 0.0]",0.7114961930190071,"[0.7255420408799872, 0.7389517597254125, 0.6271164574589859, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB']",0.0,0.7,0.0,0.3,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,54.01,"[0.0, 0.0, 54.010000000000375, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.0, 0.0, 0.7550280844261964, 0.0, 0.0, 0.0]",30.009999999999994,"[0.0, 0.0, 30.009999999999373, 0.0, 0.0, 0.0]",0.4195221776269333,"[0.0, 0.0, 0.419522177626942, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.165,0.0,0.835,0.0,0.3,0.03867357142857143,0.13600231292517007,4.0,4.645,49.48000000000001,"[49.48000000000036, 49.47999999999979, 0.0, 0.0, 0.0, 0.0]",0.6917013445178491,"[0.6917013445178507, 0.6917013445178516, 0.0, 0.0, 0.0, 0.0]",30.9,"[28.14347305389186, 44.84969696969678, 0.0, 0.0, 0.0, 0.0]",0.4319638550040731,"[0.39342922697613336, 0.6269724271454644, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.7437088656600851,75.0,"['TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']",0.0,0.5,0.5,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.016010479969765682,0.0972582454648526,4.0,6.13,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0820065494276785,"[1.082006549427666, 0.0, 0.0, 0.0, 0.0, 0.0]",52.87999999999999,"[52.880000000000926, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7392313479810807,"[0.7392313479810769, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.7878047619047618,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB', 'TTB', 'TTB']",0.0,0.3,0.4,0.3,,
0.0,0.0,0.654,0.0,0.34600000000000003,0.0,0.3,0.05331944444444445,0.1875,4.0,2.546,80.3665,"[86.07699421965309, 77.34535168195754, 0.0, 0.0, 0.0, 0.0]",1.123476477449348,"[1.2033058333425486, 1.0812425980318465, 0.0, 0.0, 0.0, 0.0]",70.1825,"[74.78219653179185, 67.74902140672809, 0.0, 0.0, 0.0, 0.0]",0.9811101376641864,"[1.045411194160034, 0.9470915359095061, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,0.9,0.0,0.1,,
0.0,0.0,0.171,0.182,0.647,0.0,0.3,0.0045444444444444464,0.1875,4.0,5.182,72.14,"[72.13999999999955, 72.1399999999999, 72.13999999999987, 0.0, 0.0, 0.0]",1.0084748381875028,"[1.008474838187496, 1.0084748381875022, 1.0084748381875026, 0.0, 0.0, 0.0]",51.41199999999999,"[52.139999999999596, 52.140000000000086, 48.1400000000001, 0.0, 0.0, 0.0]",0.7187095700151914,"[0.728886582521442, 0.7288865825214373, 0.6729689313882252, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",0.0,0.0,0.0,1.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.003155895691609978,0.10988265306122444,4.0,7.504,40.13999999999999,"[40.139999999999574, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.561133629121793, 0.0, 0.0, 0.0, 0.0, 0.0]",10.12399999999999,"[10.124000000000008, 0.0, 0.0, 0.0, 0.0, 0.0]",0.14152757501816293,"[0.14152757501816154, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-0.9487619047619048,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT']",0.0,0.0,0.5,0.5,,
