Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy
0.0,0.0,0.589,0.0,0.41100000000000003,0.0,0.3,0.06845277777777778,0.1875,4.0,2.327,84.37858999999997,"[82.86785888077819, 85.43276740237631, 0.0, 0.0, 0.0, 0.0]",1.1795631396831108,"[1.1584440057629275, 1.194299920737775, 0.0, 0.0, 0.0, 0.0]",75.07059,"[69.54425790754223, 78.9268251273339, 0.0, 0.0, 0.0, 0.0]",1.0494427654961236,"[0.9721878879980456, 1.1033506681306098, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.7170000000000001,0.0,0.28300000000000003,0.0,0.3,0.11136111111111112,0.1875,4.0,1.371,39.86960000000001,"[42.930742049470005, 38.66136680613626, 0.0, 0.0, 0.0, 0.0]",0.5573535959051908,"[0.6001465642030582, 0.5404632053496893, 0.0, 0.0, 0.0, 0.0]",34.385600000000004,"[34.068551236749194, 34.510739191073554, 0.0, 0.0, 0.0, 0.0]",0.4806904962015554,"[0.47625834066763517, 0.482439868608948, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.319,0.172,0.509,0.0,0.3,0.041586111111111115,0.1875,4.0,3.443,68.86,"[68.86000000000041, 68.86000000000033, 68.86000000000011, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582661, 0.9626223642582662, 0.9626223642582665, 0.0, 0.0, 0.0]",55.08800000000002,"[54.125225933202735, 62.13899686520406, 44.8599999999999, 0.0, 0.0, 0.0]",0.7700978914066146,"[0.7566388753097915, 0.8686666871190785, 0.6271164574589858, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.057,0.6990000000000001,0.244,0.0,0.3,0.0016722222222222225,0.1875,4.0,5.699,54.01,"[54.01000000000018, 54.010000000000076, 54.00999999999966, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.7550280844262145, 0.755028084426214, 0.755028084426213, 0.0, 0.0, 0.0]",31.213999999999995,"[34.01000000000016, 34.01, 30.009999999999796, 0.0, 0.0, 0.0]",0.4363533906180304,"[0.47543982876014546, 0.47543982876014723, 0.4195221776269346, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB', 'TTB']"
0.0,0.0,0.2,0.0,0.8,0.0,0.3,0.04634535241874529,0.13855734268707484,4.0,3.93,42.41844,"[40.65304999999958, 49.479999999999755, 0.0, 0.0, 0.0, 0.0]",0.5929848823837857,"[0.5683057668502749, 0.6917013445178507, 0.0, 0.0, 0.0, 0.0]",26.69844,"[22.203049999999667, 44.67999999999977, 0.0, 0.0, 0.0, 0.0]",0.3732285134302572,"[0.3103856009983233, 0.6246001631579949, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.7796825396825398,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.43700000000000006,0.0,0.563,0.0,0.3,0.047806851851851864,0.17592194444444442,4.0,2.9360000000000004,63.89762,"[59.26063943161675, 69.87157894736892, 0.0, 0.0, 0.0, 0.0]",0.893251205850659,"[0.8284289404170676, 0.9767636439264283, 0.0, 0.0, 0.0, 0.0]",52.153620000000004,"[44.766856127886555, 61.67020594965711, 0.0, 0.0, 0.0, 0.0]",0.7290769821235447,"[0.6258143608224737, 0.8621132654015796, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.9528942115768464,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.835,0.0,0.165,0.0,0.3,0.06872222222222223,0.1875,4.0,2.309,78.60759999999998,"[106.75, 73.04652694610836, 0.0, 0.0, 0.0, 0.0]",1.098888088304796,"[1.4923023146176317, 1.0211475525663332, 0.0, 0.0, 0.0, 0.0]",69.3716,"[93.36818181818182, 64.62976047904236, 0.0, 0.0, 0.0, 0.0]",0.9697742318382058,"[1.3052323544628825, 0.9034860998225592, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.506,0.16899999999999998,0.325,0.0,0.3,0.041319444444444436,0.1875,4.0,3.467,72.14,"[72.13999999999967, 72.13999999999959, 72.1399999999999, 0.0, 0.0, 0.0]",1.0084748381875028,"[1.008474838187506, 1.0084748381875075, 1.0084748381875022, 0.0, 0.0, 0.0]",58.27199999999999,"[56.263076923076675, 62.94632411067154, 48.140000000000136, 0.0, 0.0, 0.0]",0.8146083417086522,"[0.7865247767664398, 0.8799526479346829, 0.6729689313882251, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB_SAT', 'TTB']"
0.0,0.0,0.257,0.16,0.583,0.0,0.3,0.04059722222222223,0.1875,4.0,3.4989999999999997,40.13999999999999,"[40.139999999999674, 40.14, 40.14000000000009, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.5611336291217978, 0.5611336291217974, 0.5611336291217971, 0.0, 0.0, 0.0]",26.14399999999999,"[25.21718696397924, 34.474630350194644, 16.140000000000008, 0.0, 0.0, 0.0]",0.3654777678066824,"[0.3525214658032043, 0.481935088217168, 0.22562772232251485, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB_SAT']"
