Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy,km_strategy,km_TTB,km_SAT_TTB,km_WADD,km_TTB_SAT,cluster_centers,cluster_points
0.0,0.0,0.573,0.0,0.4270000000000001,0.0,0.3,0.06694722222222223,0.1875,4.0,2.367,84.45123999999997,"[82.85477751756399, 85.64092495636935, 0.0, 0.0, 0.0, 0.0]",1.1805787440218178,"[1.1582611359867876, 1.1972098411090062, 0.0, 0.0, 0.0, 0.0]",74.98324000000002,"[69.487096018735, 79.07897033158753, 0.0, 0.0, 0.0, 0.0]",1.048221663789502,"[0.9713887983589369, 1.105477568743873, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT']","['TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB']",0.2,0.8,0.0,0.0,"[[1.0, 1.0, 1.0, 1.0, 1.0, 0.7007, 0.377, 0.0, -0.0, -0.0, 0.0, 5.656e-05, 0.0001698, 0.0003395, 0.0, 0.0, 0.0, 0.0, 5.656e-05, 0.0001698, -0.0, 0.0, 0.0, 0.0], [1.0, 0.796, 0.5317, 0.2507, -0.0, -0.0, 0.2087, 0.07495, 0.0002859, 0.001029, 0.0005717, 0.0, 0.01257, 0.01023, 0.0003428, 0.001143, 0.0006285, 5.716e-05, 5.716e-05, 0.0001143, 0.0001143, 0.0002286, 0.0003428, 0.0001714], [1.0, 1.0, 1.0, 0.999, 0.946, 0.911, 1.0, 1.0, 0.9478, 0.6216, 0.336, 0.1002, 1.0, 0.8486, 0.2812, -0.0, -0.0, 0.0, 0.452, 0.3413, 0.121, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 0.995, 0.8823, 0.774, 1.0, 1.0, 0.407, 0.1672, 0.02582, 0.00488, 0.0768, 0.00827, 0.0003712, 0.000159, 0.000636, 5.305e-05, 0.000583, 5.305e-05, 0.0002121, 5.305e-05, 0.00122, 0.00010604]]","[0.3005, 0.2976, 0.0811, 0.3208]"
0.0,0.0,0.035,0.0,0.965,0.0,0.3,0.031996889644746784,0.08872403628117914,4.0,4.955,56.07368,"[55.8253678756472, 62.92000000000004, 0.0, 0.0, 0.0, 0.0]",0.7838771189988609,"[0.7804058613134403, 0.8795846523254456, 0.0, 0.0, 0.0, 0.0]",36.25368000000001,"[35.57666321243457, 54.92000000000003, 0.0, 0.0, 0.0, 0.0]",0.5068051576337885,"[0.49734086049919396, 0.7677493500590199, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-0.5972999999999999,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']",0.0,0.5,0.0,0.5,,
0.0,0.0,0.171,0.17600000000000002,0.653,0.0,0.3,0.010127777777777779,0.1875,4.0,4.51,68.86,"[68.86000000000045, 68.8600000000001, 68.86000000000011, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582765, 0.9626223642582665, 0.9626223642582665, 0.0, 0.0, 0.0]",50.82000000000002,"[51.89215926493149, 52.85999999999996, 44.85999999999989, 0.0, 0.0, 0.0]",0.7104337576474758,"[0.7254219145813888, 0.7389517597254127, 0.6271164574589858, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB']",0.3,0.7,0.0,0.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,54.01,"[0.0, 0.0, 54.010000000000375, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.0, 0.0, 0.7550280844261964, 0.0, 0.0, 0.0]",30.009999999999994,"[0.0, 0.0, 30.009999999999373, 0.0, 0.0, 0.0]",0.4195221776269333,"[0.0, 0.0, 0.419522177626942, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.201,0.0,0.799,0.0,0.3,0.042758158856135056,0.1392846726190476,4.0,4.473,49.48000000000001,"[49.48000000000023, 49.479999999999755, 0.0, 0.0, 0.0, 0.0]",0.6917013445178491,"[0.6917013445178525, 0.6917013445178507, 0.0, 0.0, 0.0, 0.0]",31.588000000000005,"[28.243454317897022, 44.88298507462664, 0.0, 0.0, 0.0, 0.0]",0.44158169099898587,"[0.39482690633625783, 0.6274377753050535, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.7603940490550865,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB']",0.2,0.7,0.0,0.1,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.014664914965986394,0.09820885204081632,4.0,6.266,77.4,"[77.39999999999998, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0820065494276785,"[1.082006549427666, 0.0, 0.0, 0.0, 0.0, 0.0]",52.335999999999984,"[52.336000000000915, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7316265474269636,"[0.7316265474269587, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.7929999999999999,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB_SAT', 'TTB', 'SAT_TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB_SAT']",0.4,0.2,0.0,0.4,,
0.0,0.0,0.652,0.0,0.348,0.0,0.3,0.05389166666666668,0.1875,4.0,2.515,79.13526999999998,"[84.00560344827575, 76.53576687116606, 0.0, 0.0, 0.0, 0.0]",1.1062646050481617,"[1.17434900671394, 1.0699250777786993, 0.0, 0.0, 0.0, 0.0]",69.07526999999999,"[72.948132183908, 67.0081595092027, 0.0, 0.0, 0.0, 0.0]",0.9656317124481292,"[1.0197720515698254, 0.9367347216285767, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']","['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']",0.0,1.0,0.0,0.0,,
0.0,0.0,0.163,0.166,0.6709999999999999,0.0,0.3,0.004633333333333335,0.1875,4.0,5.166,72.14,"[72.13999999999955, 72.13999999999992, 72.13999999999992, 0.0, 0.0, 0.0]",1.0084748381875028,"[1.0084748381874944, 1.0084748381875017, 1.008474838187502, 0.0, 0.0, 0.0]",51.47599999999999,"[52.13999999999959, 52.14000000000012, 48.140000000000136, 0.0, 0.0, 0.0]",0.7196042524333227,"[0.7288865825214424, 0.7288865825214372, 0.6729689313882251, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']","['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']",1.0,0.0,0.0,0.0,,
0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.003163548752834468,0.10949234693877548,4.0,7.516,40.13999999999999,"[40.139999999999574, 0.0, 0.0, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.561133629121793, 0.0, 0.0, 0.0, 0.0, 0.0]",10.07599999999999,"[10.076000000000006, 0.0, 0.0, 0.0, 0.0, 0.0]",0.14085656320456436,"[0.14085656320456294, 0.0, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-0.952952380952381,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']","['TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB', 'TTB']",0.4,0.0,0.0,0.6,,
