Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy
0.0,0.0,0.574,0.0,0.426,0.0,0.3,0.06770555555555556,0.1875,4.0,2.345,84.29140999999997,"[83.24354460093856, 85.06909407665445, 0.0, 0.0, 0.0, 0.0]",1.1783444144766626,"[1.1636958715218415, 1.1892159811992313, 0.0, 0.0, 0.0, 0.0]",74.91140999999998,"[69.94776995305129, 78.59522648083568, 0.0, 0.0, 0.0, 0.0]",1.0472175225692777,"[0.977828749445252, 1.0987151137728275, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.726,0.0,0.27399999999999997,0.0,0.3,0.11183333333333334,0.1875,4.0,1.37,38.82792,"[41.21401459854019, 37.92738292010978, 0.0, 0.0, 0.0, 0.0]",0.5427915211970795,"[0.5761477225300824, 0.5302025416306317, 0.0, 0.0, 0.0, 0.0]",33.34792,"[32.22131386861322, 33.77311294765807, 0.0, 0.0, 0.0, 0.0]",0.4661843391445771,"[0.4504350469897197, 0.4721282868724451, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.315,0.198,0.48700000000000004,0.0,0.3,0.03927777777777778,0.1875,4.0,3.5469999999999997,68.86,"[68.8600000000004, 68.86000000000031, 68.86000000000017, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582661, 0.9626223642582662, 0.9626223642582664, 0.0, 0.0, 0.0]",54.67200000000001,"[53.8949075975363, 62.04095238095266, 44.859999999999935, 0.0, 0.0, 0.0]",0.7642824556887604,"[0.7534191602239467, 0.8672960828026024, 0.6271164574589854, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['TTB_SAT', 'TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.066,0.7,0.23399999999999999,0.0,0.3,0.001666666666666667,0.1875,4.0,5.7,54.01,"[54.01000000000018, 54.0100000000001, 54.00999999999966, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.7550280844262145, 0.7550280844262142, 0.7550280844262129, 0.0, 0.0, 0.0]",31.209999999999994,"[34.01000000000016, 34.01000000000001, 30.009999999999792, 0.0, 0.0, 0.0]",0.4362974729668972,"[0.47543982876014546, 0.47543982876014734, 0.41952217762693467, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB', 'TTB', 'TTB_SAT', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB', 'TTB']"
0.0,0.0,0.198,0.0,0.802,0.0,0.3,0.04790068168934241,0.1397347654478458,4.0,3.8739999999999997,42.53516000000001,"[40.82059850374023, 49.479999999999755, 0.0, 0.0, 0.0, 0.0]",0.5946165594438528,"[0.5706479965452904, 0.6917013445178508, 0.0, 0.0, 0.0, 0.0]",27.039160000000006,"[22.6210972568575, 44.93454545454523, 0.0, 0.0, 0.0, 0.0]",0.37799157895378427,"[0.3162296561648668, 0.6281585591391995, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.7790912746280658,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.419,0.0,0.581,0.0,0.3,0.04571314814814816,0.1751713888888889,4.0,2.9989999999999997,63.96615999999999,"[59.940585197935, 69.54816229116989, 0.0, 0.0, 0.0, 0.0]",0.8942093548028266,"[0.8379341829546897, 0.9722424689884278, 0.0, 0.0, 0.0, 0.0]",51.97015999999999,"[45.35194492254762, 61.14720763723181, 0.0, 0.0, 0.0, 0.0]",0.72651231905432,"[0.6339935585979244, 0.854802056107217, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.9575048732943471,75.0,"['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT']"
0.0,0.0,0.8270000000000001,0.0,0.17300000000000001,0.0,0.3,0.0695277777777778,0.1875,4.0,2.3369999999999997,77.31773999999999,"[106.75, 71.16081015719529, 0.0, 0.0, 0.0, 0.0]",1.080856602932124,"[1.4923023146176317, 0.9947863391817118, 0.0, 0.0, 0.0, 0.0]",67.96973999999999,"[93.08526011560694, 62.71582829504288, 0.0, 0.0, 0.0, 0.0]",0.950177052233804,"[1.3012772751972332, 0.8767304517831783, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']"
0.0,0.0,0.494,0.163,0.34299999999999997,0.0,0.3,0.040836111111111115,0.1875,4.0,3.4989999999999997,72.14,"[72.13999999999966, 72.13999999999959, 72.13999999999992, 0.0, 0.0, 0.0]",1.0084748381875028,"[1.0084748381875062, 1.0084748381875075, 1.0084748381875017, 0.0, 0.0, 0.0]",58.14399999999999,"[55.976734693877276, 62.94971659918989, 48.140000000000136, 0.0, 0.0, 0.0]",0.8128189768723894,"[0.7825218805471704, 0.8800000729320437, 0.6729689313882251, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['SAT_TTB', 'TTB', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']"
0.0,0.0,0.263,0.161,0.5760000000000001,0.0,0.3,0.04028055555555556,0.1875,4.0,3.505,40.13999999999999,"[40.139999999999674, 40.139999999999986, 40.14000000000009, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.5611336291217978, 0.5611336291217974, 0.5611336291217971, 0.0, 0.0, 0.0]",26.11999999999999,"[25.12611111111094, 34.406159695817564, 16.140000000000008, 0.0, 0.0, 0.0]",0.3651422618998832,"[0.35124827886136645, 0.4809779086760881, 0.22562772232251485, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']"
