Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy
0.0,0.0,0.591,0.0,0.409,0.0,0.3,0.06837222222222224,0.1875,4.0,2.331,84.84355,"[83.71330073349591, 85.62573604060849, 0.0, 0.0, 0.0, 0.0]",1.1860630074508358,"[1.1702627864063497, 1.1969975089858553, 0.0, 0.0, 0.0, 0.0]",75.51955,"[70.47124694376495, 79.0132148900163, 0.0, 0.0, 0.0, 0.0]",1.0557189626593158,"[0.9851466503810007, 1.1045583462833994, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.708,0.0,0.292,0.0,0.3,0.10966666666666666,0.1875,4.0,1.3880000000000001,39.97344,"[41.93534246575344, 39.164293785310335, 0.0, 0.0, 0.0, 0.0]",0.5588052181286091,"[0.5862314625379569, 0.5474938291914226, 0.0, 0.0, 0.0, 0.0]",34.421440000000004,"[33.16821917808224, 34.93830508474543, 0.0, 0.0, 0.0, 0.0]",0.4811915183557089,"[0.463672227177489, 0.48841698872864847, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.33299999999999996,0.17800000000000002,0.489,0.0,0.3,0.040338888888888896,0.1875,4.0,3.535,68.86,"[68.8600000000004, 68.86000000000033, 68.86000000000013, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582661, 0.9626223642582662, 0.9626223642582665, 0.0, 0.0, 0.0]",54.72000000000001,"[53.350797546012636, 62.00114114114144, 44.85999999999989, 0.0, 0.0, 0.0]",0.7649534675023589,"[0.7458128212141532, 0.866739545047866, 0.6271164574589857, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']"
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.07400000000000001,0.701,0.225,0.0,0.3,0.0016611111111111115,0.1875,4.0,5.7010000000000005,54.01,"[54.010000000000176, 54.010000000000105, 54.00999999999966, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.7550280844262145, 0.7550280844262143, 0.7550280844262128, 0.0, 0.0, 0.0]",31.206,"[34.010000000000154, 34.01000000000003, 30.00999999999979, 0.0, 0.0, 0.0]",0.4362415553157641,"[0.4754398287601455, 0.4754398287601472, 0.41952217762693467, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB']"
0.0,0.0,0.196,0.0,0.804,0.0,0.3,0.04621145786092215,0.13651433815192746,4.0,3.952,42.243359999999996,"[40.479203980099086, 49.479999999999755, 0.0, 0.0, 0.0, 0.0]",0.5905373667936848,"[0.5658755015773517, 0.691701344517851, 0.0, 0.0, 0.0, 0.0]",26.43536,"[21.97174129353202, 44.74530612244876, 0.0, 0.0, 0.0, 0.0]",0.3695508095152257,"[0.30715204111023964, 0.6255131044009862, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.7492460317460317,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']"
0.0,0.0,0.451,0.0,0.5489999999999999,0.0,0.3,0.04839175925925927,0.1766259722222222,4.0,2.877,63.79480999999999,"[59.48471766848863, 69.04146341463465, 0.0, 0.0, 0.0, 0.0]",0.8918139824224075,"[0.8315614225860539, 0.9651591162365046, 0.0, 0.0, 0.0, 0.0]",52.28680999999999,"[45.320783242258855, 60.76651884700705, 0.0, 0.0, 0.0, 0.0]",0.7309389001121529,"[0.6335579366061483, 0.849480250366687, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.9530067702110712,75.0,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.818,0.0,0.182,0.0,0.3,0.06814722222222222,0.1875,4.0,2.369,77.96266999999997,"[106.75, 71.5576650366754, 0.0, 0.0, 0.0, 0.0]",1.08987234561846,"[1.4923023146176317, 1.0003341373570327, 0.0, 0.0, 0.0, 0.0]",68.48666999999999,"[92.72802197802197, 63.09311735941365, 0.0, 0.0, 0.0, 0.0]",0.9574034300838772,"[1.2962832958099955, 0.8820047313526456, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.5,0.163,0.337,0.0,0.3,0.04109444444444444,0.1875,4.0,3.457,72.13094,"[72.11311572700264, 72.13999999999959, 72.13999999999992, 0.0, 0.0, 0.0]",1.0083481847076865,"[1.0080990118379014, 1.0084748381875075, 1.0084748381875017, 0.0, 0.0, 0.0]",58.30293999999999,"[56.421721068249, 62.88399999999961, 48.140000000000136, 0.0, 0.0, 0.0]",0.8150408647401676,"[0.7887425287574586, 0.879081393465247, 0.6729689313882251, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB']"
0.0,0.0,0.237,0.16699999999999998,0.596,0.0,0.3,0.0398138888888889,0.1875,4.0,3.492,40.13999999999999,"[40.13999999999967, 40.14000000000005, 40.14000000000011, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.5611336291217978, 0.5611336291217974, 0.5611336291217972, 0.0, 0.0, 0.0]",26.17199999999999,"[25.629932885905845, 34.604135021097186, 16.140000000000004, 0.0, 0.0, 0.0]",0.3658691913646148,"[0.3582914114204412, 0.48374548746907975, 0.22562772232251482, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']"
