Other,Rand,SAT_TTB,TTB,TTB_SAT,WADD,alpha,click_var_gamble,click_var_outcome,cost,nr_clicks,payoff_gross,payoff_gross_by_strategy,payoff_gross_relative,payoff_gross_relative_by_strategy,payoff_net,payoff_net_by_strategy,payoff_net_relative,payoff_net_relative_by_strategy,payoff_perfect,problem_id,processing_pattern,sigma,strategy
0.0,0.0,0.584,0.0,0.41600000000000004,0.0,0.3,0.06752777777777777,0.1875,4.0,2.35,84.45123999999998,"[82.90295673076882, 85.55412671232816, 0.0, 0.0, 0.0, 0.0]",1.1805787440218178,"[1.158934653095753, 1.1959964526266886, 0.0, 0.0, 0.0, 0.0]",75.05123999999998,"[69.49911057692273, 79.00618150684875, 0.0, 0.0, 0.0, 0.0]",1.0491722638587668,"[0.9715567548272512, 1.104460023716837, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Z6igLUgOZ1o22OJ,-1.0,75.0,"['SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB']"
0.0,0.0,0.687,0.0,0.313,0.0,0.3,0.10775,0.1875,4.0,1.419,39.222159999999995,"[40.771246006389795, 38.5163901018919, 0.0, 0.0, 0.0, 0.0]",0.5483027648927691,"[0.5699580776129303, 0.5384365161570939, 0.0, 0.0, 0.0, 0.0]",33.54616,"[31.90223642172528, 34.295138282386894, 0.0, 0.0, 0.0, 0.0]",0.4689556179347392,"[0.44597453164983086, 0.4794258945099601, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,3uXiz4V3sUrSmY9,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT']"
0.0,0.0,0.342,0.14800000000000002,0.51,0.0,0.3,0.04276944444444445,0.1875,4.0,3.392,68.86,"[68.86000000000041, 68.86000000000034, 68.86000000000003, 0.0, 0.0, 0.0]",0.9626223642582676,"[0.9626223642582661, 0.9626223642582662, 0.9626223642582666, 0.0, 0.0, 0.0]",55.292000000000016,"[53.71490196078469, 62.1582456140354, 44.859999999999935, 0.0, 0.0, 0.0]",0.7729496916144084,"[0.750902787124475, 0.8689357733245536, 0.6271164574589865, 0.0, 0.0, 0.0]",71.53376293418955,si1lNmExwYp0qHd,-1.0,75.0,"['TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB_SAT', 'TTB', 'TTB', 'TTB_SAT']"
0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.1875,4.0,6.0,15.759999999999994,"[0.0, 0.0, 15.76000000000019, 0.0, 0.0, 0.0]",0.2203155454648606,"[0.0, 0.0, 0.22031554546486418, 0.0, 0.0, 0.0]",-8.239999999999998,"[0.0, 0.0, -8.239999999999839, 0.0, 0.0, 0.0]",-0.11519036133441947,"[0.0, 0.0, -0.11519036133441707, 0.0, 0.0, 0.0]",71.53376293418955,klD1PHboiI6GI83,-1.0,75.0,"['TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.054000000000000006,0.6829999999999999,0.263,0.0,0.3,0.0017611111111111113,0.1875,4.0,5.683,54.01,"[54.01000000000018, 54.01000000000007, 54.0099999999996, 0.0, 0.0, 0.0]",0.7550280844262132,"[0.7550280844262145, 0.755028084426214, 0.7550280844262143, 0.0, 0.0, 0.0]",31.278000000000002,"[34.01000000000016, 34.01, 30.009999999999827, 0.0, 0.0, 0.0]",0.4372480730361618,"[0.4754398287601454, 0.4754398287601472, 0.41952217762693406, 0.0, 0.0, 0.0]",71.53376293418955,mlhb2P64mtEuQDH,-1.0,75.0,"['TTB', 'TTB_SAT', 'TTB', 'TTB', 'TTB_SAT', 'TTB', 'TTB', 'TTB', 'TTB', 'TTB']"
0.0,0.0,0.182,0.0,0.818,0.0,0.3,0.04617145077475435,0.13803031391723358,4.0,3.884,41.718120000000006,"[39.99114914425385, 49.47999999999978, 0.0, 0.0, 0.0, 0.0]",0.5831948200233826,"[0.5590527815661839, 0.6917013445178517, 0.0, 0.0, 0.0, 0.0]",26.18212,"[22.010709046454423, 44.930549450549236, 0.0, 0.0, 0.0, 0.0]",0.3660106630219821,"[0.3076967874135803, 0.6281026973498555, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Q8ZMcp5SHNKniCj,-0.7772637406089363,75.0,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.428,0.0,0.5720000000000001,0.0,0.3,0.04844990740740741,0.1772198611111111,4.0,2.895,63.72626999999999,"[59.306398601398996, 69.63320093457989, 0.0, 0.0, 0.0, 0.0]",0.8908558334702399,"[0.8290686267400752, 0.973431259287188, 0.0, 0.0, 0.0, 0.0]",52.14626999999999,"[45.08961538461562, 61.577126168224645, 0.0, 0.0, 0.0, 0.0]",0.7289742334395873,"[0.6303263457019204, 0.8608120647151559, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,55wGWrG0AsulSFG,-0.9480048367593712,75.0,"['SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB']"
0.0,0.0,0.8079999999999999,0.0,0.192,0.0,0.3,0.06643333333333333,0.1875,4.0,2.383,78.19719,"[106.75, 71.4123638613868, 0.0, 0.0, 0.0, 0.0]",1.0931507975044004,"[1.4923023146176317, 0.9983029122497731, 0.0, 0.0, 0.0, 0.0]",68.66519,"[92.6875, 62.9569183168322, 0.0, 0.0, 0.0, 0.0]",0.9598990348539524,"[1.29571682235243, 0.8801007487157065, 0.0, 0.0, 0.0, 0.0]",71.53376293418955,Gq2ftjqDBmr2chN,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'SAT_TTB']"
0.0,0.0,0.532,0.172,0.29600000000000004,0.0,0.3,0.042058333333333336,0.1875,4.0,3.4610000000000003,72.14,"[72.1399999999997, 72.13999999999959, 72.13999999999989, 0.0, 0.0, 0.0]",1.0084748381875028,"[1.0084748381875055, 1.008474838187505, 1.0084748381875022, 0.0, 0.0, 0.0]",58.29599999999999,"[56.01837837837815, 62.846766917292825, 48.140000000000136, 0.0, 0.0, 0.0]",0.8149438476154515,"[0.7831040348026251, 0.8785608968328956, 0.6729689313882251, 0.0, 0.0, 0.0]",71.53376293418955,PCWdMJAPeV3vIAW,-1.0,75.0,"['SAT_TTB', 'SAT_TTB', 'TTB', 'SAT_TTB', 'TTB', 'TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT']"
0.0,0.0,0.257,0.162,0.581,0.0,0.3,0.0409388888888889,0.1875,4.0,3.455,40.13999999999999,"[40.139999999999674, 40.14, 40.1400000000001, 0.0, 0.0, 0.0]",0.5611336291217961,"[0.5611336291217978, 0.5611336291217974, 0.5611336291217971, 0.0, 0.0, 0.0]",26.31999999999999,"[25.572013769362982, 34.42793774319075, 16.140000000000008, 0.0, 0.0, 0.0]",0.3679381444565437,"[0.3574817361822445, 0.481282352989932, 0.22562772232251482, 0.0, 0.0, 0.0]",71.53376293418955,q8OiXnEuGsljtb2,-1.0,75.0,"['TTB_SAT', 'TTB_SAT', 'TTB_SAT', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'SAT_TTB', 'TTB_SAT', 'TTB_SAT', 'TTB_SAT']"
