sigma,alpha,mean,sem
75,0.1,83.4648804449973,0.014038145652168713
75,0.31622776601683794,71.53376293418957,0.012211813017552281
75,1.0,59.61750798897636,0.009966476369977101
75,3.1622776601683795,52.3529956285867,0.008516913731945904
75,10.0,49.20411253552262,0.007937727653461126
150,0.1,166.90659994495977,0.0280718107890001
150,0.31622776601683794,143.03965997914565,0.024430786813240943
150,1.0,119.23470378797286,0.01993351197296512
150,3.1622776601683795,104.71853116730084,0.017042639945400093
150,10.0,98.41157698772882,0.015870609397783647
