pid,rt,time_elapsed,trial_type,click_cost,payoff_index,probabilities,payoff_value,net_payoff,clicks,payoff_matrix,click_times,cost,choice_index,block,trial_index
1,89462.0,101509,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",193,193,[],"[[64, 105, -342, 28, -176, -43], [-98, 16, 72, -81, -21, 269], [95, -94, 32, 227, -134, 3], [193, 109, -75, -142, -48, 175]]",[],8,0,instruct1,0
1,2383.0,107585,mouselab,0,0,"[0.2, 0.2, 0.1, 0.5]",105,105,[],"[[64, 105, -342, 28, -176, -43], [-98, 16, 72, -81, -21, 269], [95, -94, 32, 227, -134, 3], [193, 109, -75, -142, -48, 175]]",[],8,1,instruct1,1
1,1712.0,110723,mouselab,0,3,"[0.2, 0.2, 0.1, 0.5]",-75,-75,[],"[[64, 105, -342, 28, -176, -43], [-98, 16, 72, -81, -21, 269], [95, -94, 32, 227, -134, 3], [193, 109, -75, -142, -48, 175]]",[],8,2,instruct1,2
1,14070.0,128640,mouselab,0,2,"[0.26, 0.38, 0.24, 0.12]",297,297,[],"[[41, 13, 40, 109, 48, -93], [-11, -12, -147, 330, -63, 313], [-113, 236, -109, 297, 36, -9], [118, -111, -13, 281, -35, 264]]",[],8,3,instruct2,0
1,3869.0,134238,mouselab,0,0,"[0.92, 0.01, 0.06, 0.01]",391,391,[],"[[-114, 102, -201, 391, 194, 347], [105, 17, 307, 341, 189, 41], [72, -145, 76, 261, -311, 224], [-84, -23, 216, 245, -143, -319]]",[],8,3,instruct2,1
1,3370.0,139234,mouselab,0,1,"[0.06, 0.47, 0.3, 0.17]",334,334,[],"[[-46, 66, 128, 66, -50, -221], [17, 267, 334, -101, -62, 56], [364, 71, 424, 149, -11, 61], [160, -43, 197, -13, 47, -181]]",[],8,2,instruct2,2
1,12390.0,157558,mouselab,0,0,"[0.48, 0.23, 0.22, 0.07]",-174,-174,[],"[[80, -93, -72, -174, 100, -64], [168, 106, -153, -71, -51, 123], [96, 231, -240, -306, -193, 69], [39, -153, 152, -175, 190, 30]]",[],8,3,instruct3,0
1,1398.0,162144,mouselab,0,1,"[0.04000000000000001, 0.1, 0.27, 0.59]",-69,-69,[],"[[44, 18, 52, -69, -10, -27], [-240, -175, -7, -69, 30, 6], [61, 11, -139, 200, 41, -208], [-135, -38, 1, -87, -101, 119]]",[],8,3,instruct3,1
1,1570.0,167127,mouselab,0,3,"[0.16, 0.25, 0.03, 0.56]",177,177,[],"[[-55, 43, -11, 225, -184, 15], [131, 197, -55, -139, -92, 106], [-109, 128, -284, 43, -29, 391], [-36, -402, 11, 177, -33, 133]]",[],8,3,instruct3,2
1,6955.0,182254,mouselab,0,0,"[0.65, 0.13, 0.19, 0.03]",13,13,[],"[[-91, -97, 134, 13, 209, 127], [-110, -173, 182, 279, -24, -29], [-299, -52, -292, -270, -21, -78], [276, -34, -30, 5, -287, -85]]",[],8,3,test,0
1,1502.0,187010,mouselab,0,1,"[0.1, 0.68, 0.13, 0.09]",22,22,[],"[[-29, 205, -55, -185, 285, -322], [-156, 131, -41, 22, 311, -68], [149, -101, 35, -184, -118, 77], [43, 248, 123, 103, -78, -195]]",[],8,3,test,1
1,1634.0,196866,mouselab,0,2,"[0.37, 0.15, 0.3, 0.18]",16,16,[],"[[13, -176, -142, -128, -6, -312], [-7, 274, 13, -16, 180, -157], [-289, -124, -369, 16, 90, 318], [95, 187, -119, 275, -78, 129]]",[],8,3,test,2
1,2739.0,203349,mouselab,0,3,"[0.09000000000000001, 0.38, 0.03, 0.5]",8,8,[],"[[198, 437, 172, -50, -57, -166], [-35, -18, 70, 148, 137, -124], [249, 123, 65, 168, 93, 17], [-111, -114, 185, 8, 145, 132]]",[],8,3,test,3
