pid,mu,n_comprehension,cost,sigma,alpha,bonus_rate,bonus,completed,version,pass_check1,pass_check2,total_time,pass_instruct1,pass_instruct2,pass_instruct3,instruct_time
0,0,3.0,2,75,10.0,0.002,1.69,True,0.3,1.0,1.0,5.832666666666666,1.0,1.0,1.0,4.3718
1,0,3.0,2,150,0.5,0.002,1.794,True,0.3,1.0,1.0,11.6853,1.0,1.0,1.0,9.339
3,0,3.0,2,150,10.0,0.002,2.858,True,0.3,1.0,1.0,9.358283333333333,1.0,1.0,1.0,7.472383333333333
4,0,3.0,2,150,10.0,0.002,0.126,True,0.3,1.0,1.0,3.3625,0.3333333333333333,1.0,0.6666666666666666,5.34835
5,0,3.0,2,75,10.0,0.002,1.652,True,0.3,1.0,1.0,9.91275,1.0,1.0,1.0,4.581416666666667
6,0,3.0,2,75,0.5,0.002,1.194,True,0.3,1.0,1.0,5.374016666666667,1.0,1.0,1.0,4.59545
7,0,3.0,2,75,0.5,0.002,0.228,True,0.3,1.0,1.0,11.7291,1.0,1.0,0.0,1.7771
8,0,3.0,2,150,0.5,0.002,4.814,True,0.3,1.0,1.0,7.125416666666666,1.0,1.0,1.0,4.962816666666667
9,0,3.0,2,75,10.0,0.002,0.92,True,0.3,1.0,1.0,2.1937333333333333,1.0,1.0,1.0,2.1428166666666666
10,0,3.0,2,75,0.5,0.002,2.2319999999999998,True,0.3,1.0,1.0,3.3064833333333334,1.0,1.0,1.0,9.3398
12,0,3.0,2,150,0.5,0.002,2.258,True,0.3,1.0,1.0,6.8216,1.0,1.0,1.0,4.004983333333334
13,0,3.0,2,75,10.0,0.002,0.466,True,0.3,1.0,1.0,11.134933333333333,1.0,0.3333333333333333,0.3333333333333333,8.409216666666667
14,0,3.0,2,75,10.0,0.002,0.424,True,0.3,1.0,1.0,12.307266666666667,1.0,1.0,1.0,2.908166666666667
15,0,3.0,2,150,10.0,0.002,2.258,True,0.3,1.0,1.0,7.0239,1.0,0.6666666666666666,1.0,4.233083333333333
16,0,3.0,2,150,0.5,0.002,3.2840000000000003,True,0.3,1.0,1.0,7.04865,1.0,1.0,1.0,6.242933333333333
17,0,3.0,2,150,10.0,0.002,2.434,True,0.3,1.0,1.0,4.535816666666666,1.0,0.6666666666666666,1.0,8.380366666666667
18,0,3.0,2,150,0.5,0.002,2.73,True,0.3,1.0,1.0,8.6991,1.0,1.0,1.0,5.895583333333334
19,0,3.0,2,75,10.0,0.002,0.504,True,0.3,1.0,0.3333333333333333,6.09895,0.3333333333333333,1.0,0.3333333333333333,10.314783333333333
20,0,3.0,2,75,0.5,0.002,2.622,True,0.3,1.0,1.0,8.922716666666666,1.0,1.0,1.0,3.2596833333333333
21,0,3.0,2,150,10.0,0.002,2.588,True,0.3,1.0,1.0,,1.0,1.0,1.0,6.917566666666667
22,0,3.0,2,75,0.5,0.002,1.228,True,0.3,1.0,1.0,,1.0,1.0,1.0,5.5983833333333335
