pid,trial_type,rt,time_elapsed,cost,display_ev,problem_id,payoff_matrix,net_payoff,min_trial_secs,click_times,click_cost,payoff_value,probabilities,e_vs,payoff_index,choice_index,revealed_points,clicks,answers,correct,flag,block,trial_index,sigma,alpha
1,mouselab,42627.0,67992,0,False,KmJVF2O061O9wka,"[[-11, -24, -129, 73, -12, 131], [-9, 84, 99, 60, 60, 58], [-101, -34, -196, 51, 61, 20], [122, 78, 29, 57, -22, -2]]",-101,0.0,[],0,-101,"[0.25, 0.34, 0.19, 0.22]","[0, 0, 0, 0, 0, 0]",2,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,0,75,10.000000000000009
1,mouselab,9045.0,84784,0,False,ufwDOEQYZMaakNM,"[[-90, 3, 21, -139, 50, -11], [63, -14, -89, -15, -30, -69], [1, 29, 122, -49, 60, -58], [-51, -39, 57, 19, 127, -26]]",1,0.0,[],0,1,"[0.23, 0.35, 0.22, 0.2]","[0, 0, 0, 0, 0, 0]",2,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,1,75,10.000000000000009
1,mouselab,24936.0,117656,0,False,KQUm1G6X7S7s5dg,"[[-18, -4, -2, 31, -6, 43], [-8, 95, 91, 13, 47, 41], [-16, 1, 43, 105, -54, -15], [-4, 82, -111, -67, -25, -126]]",-15,0.0,[],0,-15,"[0.21, 0.18, 0.04, 0.57]","[0, 0, 0, 0, 0, 0]",2,5,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct1,2,75,10.000000000000009
1,mouselab,21139.0,302367,0,False,8KRi3gpD56McsmX,"[[-117, 53, 137, 116, 78, 71], [61, -44, 35, 40, -22, 71], [-55, -92, -190, -94, 112, 0], [137, -17, 52, 154, -6, -60]]",35,0.0,[],0,35,"[0.32, 0.27, 0.24, 0.17]","[0, 0, 0, 0, 0, 0]",1,2,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct2,0,75,10.000000000000009
1,mouselab,5008.0,310352,0,False,m4oMFTnOfNTQA3a,"[[40, 180, 166, -33, -12, 80], [12, 104, -3, 64, 26, 93], [-101, 196, -26, 187, 84, 2], [-57, 98, -29, 89, -57, -25]]",104,0.0,[],0,104,"[0.21, 0.25, 0.26, 0.28]","[0, 0, 0, 0, 0, 0]",1,1,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,dominating,instruct2,1,75,10.000000000000009
1,mouselab,5067.0,318379,0,False,xTfqufUPmFL5ZUQ,"[[15, 33, -53, 10, 19, 3], [44, -35, -72, 78, -110, 66], [-72, -24, -11, -19, 97, -144], [20, 4, 17, 8, -51, 0]]",-72,0.0,[],0,-72,"[0.22, 0.21, 0.37, 0.2]","[0, 0, 0, 0, 0, 0]",2,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",[],,,,instruct2,2,75,10.000000000000009
1,mouselab,39720.0,360977,0,False,Im0WMVeT8ZSYAOx,"[[-90, -38, -113, -57, -21, -34], [77, 56, 77, 74, -106, -28], [-111, -163, 91, -87, -84, 4], [53, 159, -120, 8, -18, 32]]",53,0.0,"[8465, 9215, 9855, 10445, 11883, 12593, 13232, 13802, 15981, 16760, 20848, 21458, 22548, 23018, 23497, 23986, 24437, 24937, 25416, 25917, 26386, 26886, 27466, 28076]",0,53,"[0.19, 0.31, 0.33, 0.17]","[-21, -17, 12, -15, -68, -8]",3,0,"[[-90, -38, -113, -57, -21, -34], [77, 56, 77, 74, -106, -28], [-111, -163, 91, -87, -84, 4], [53, 159, -120, 8, -18, 32]]","[0, 6, 12, 18, 1, 7, 13, 19, 2, 8, 14, 20, 3, 9, 15, 21, 22, 16, 10, 4, 5, 11, 17, 23]",,,,instruct3,0,75,10.000000000000009
1,mouselab,24036.0,387257,0,False,p9FZjcojg3TSIaF,"[[-50, -41, 22, -90, 78, 110], [-18, -50, -10, -56, 18, 14], [-115, 3, -55, -51, -45, 1], [-85, -65, -1, -55, -43, 4]]",14,0.0,"[7735, 8834, 9436, 9894, 10363, 11355, 11833, 12342, 12872, 13762, 14291, 14791, 15451, 15961, 17010, 17529, 18109, 18629, 19128, 19648, 20169, 20728, 21228, 21758]",0,14,"[0.4, 0.17, 0.18, 0.25]","[-65, -41, -3, -68, 15, 48]",1,5,"[[-50, -41, 22, -90, 78, 110], [-18, -50, -10, -56, 18, 14], [-115, 3, -55, -51, -45, 1], [-85, -65, -1, -55, -43, 4]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,instruct3,1,75,10.000000000000009
1,mouselab,18666.0,408742,0,False,j7XhWAoHVlAXXAz,"[[-64, -9, 37, 18, 0, 1], [18, 7, -53, -108, 104, 123], [-24, -2, -41, 8, -9, -9], [-84, -15, 9, 38, 106, -71]]",18,0.0,"[2585, 3064, 3594, 4094, 4554, 5013, 5556, 6013, 6513, 7062, 7612, 8172, 9061, 9512, 9921, 10410, 10900, 11380, 11880, 12360, 12860, 13349, 13832, 14409]",0,18,"[0.24000000000000002, 0.15, 0.3, 0.31]","[-46, -6, -9, 2, 46, -6]",0,3,"[[-64, -9, 37, 18, 0, 1], [18, 7, -53, -108, 104, 123], [-24, -2, -41, 8, -9, -9], [-84, -15, 9, 38, 106, -71]]","[0, 1, 2, 3, 4, 5, 11, 10, 9, 8, 7, 6, 12, 13, 14, 15, 16, 17, 23, 22, 21, 20, 19, 18]",,,,instruct3,2,75,10.000000000000009
1,mouselab,15842.0,516563,0,False,tGbaq2ekRfeVMGL,"[[148, 46, -133, 61, -81, 38], [-69, 137, 87, 13, 72, 54], [79, 132, -32, 91, -16, -103], [49, 65, -15, -153, 72, 7]]",137,0.0,"[1439, 2079, 2998, 3928, 4437, 5106, 6356, 6826, 7256, 7725, 8495, 9005, 9484, 9964, 10464, 11004, 11443, 11933, 12403, 12863, 13362, 13842, 14372, 14931]",0,137,"[0.31, 0.25, 0.29, 0.15]","[59, 97, -31, 26, -1, -4]",1,1,"[[148, 46, -133, 61, -81, 38], [-69, 137, 87, 13, 72, 54], [79, 132, -32, 91, -16, -103], [49, 65, -15, -153, 72, 7]]","[6, 0, 12, 19, 13, 18, 7, 1, 2, 8, 14, 20, 21, 15, 9, 3, 4, 10, 16, 22, 23, 17, 11, 5]",,,,test,0,75,10.000000000000009
