pid,rt,time_elapsed,trial_type,display_ev,e_vs,probabilities,cost,click_times,min_trial_secs,problem_id,click_cost,revealed_points,payoff_index,payoff_value,net_payoff,choice_index,payoff_matrix,clicks,flag,answers,correct,block,trial_index,sigma,alpha
4,30119.0,39563,mouselab,False,"[0, 0, 0, 0, 0, 0]","[0.010000000000000009, 0.72, 0.12, 0.15]",4,[],0.0,ug6cLKSvnLTWxOA,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",3,137,137,0,"[[17, 177, 19, 74, 73, -20], [102, 26, 75, -67, -18, -105], [-12, -27, 39, -136, 124, -20], [137, 85, -76, -103, 43, 22]]",[],,,,instruct1,0,75,0.31622776601683805
4,11968.0,56131,mouselab,False,"[0, 0, 0, 0, 0, 0]","[0.01, 0.55, 0.38, 0.06]",4,[],0.0,I6ec6hcselxkUo2,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",2,10,10,1,"[[39, 19, -100, 124, 103, 74], [-118, 109, 84, 10, 20, 23], [-23, 10, -58, 2, 44, 176], [54, -12, -112, 123, -3, -141]]",[],,,,instruct1,1,75,0.31622776601683805
4,19912.0,78931,mouselab,False,"[0, 0, 0, 0, 0, 0]","[0.21, 0.18, 0.04, 0.57]",4,[],0.0,qOTp6WiWCwD2uUQ,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",3,-16,-16,5,"[[94, -20, -68, -94, 124, 158], [-14, -35, -77, -25, -65, -164], [-19, 79, -50, 72, 52, -77], [-8, -81, 111, 18, 65, -16]]",[],,,,instruct1,2,75,0.31622776601683805
4,27088.0,178355,mouselab,False,"[0, 0, 0, 0, 0, 0]","[0.49, 0.33, 0.02, 0.16]",4,[],0.0,sydK4yEJpghb956,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",0,36,36,1,"[[93, 36, 16, -28, -27, -110], [-89, 62, -33, 57, -138, 98], [-69, 20, -51, 29, -36, 51], [-24, -104, 23, -179, 36, 28]]",[],,,,instruct2,0,75,0.31622776601683805
4,9415.0,193740,mouselab,False,"[0, 0, 0, 0, 0, 0]","[0.73, 0.07, 0.03, 0.17]",4,[],0.0,PxAQf10GF4AeHJo,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",2,168,168,5,"[[-127, -18, 94, 27, 29, 103], [-93, 64, 190, 7, 35, 209], [38, 147, 47, 131, -72, 168], [-58, 3, 17, 15, 72, 84]]",[],dominating,,,instruct2,1,75,0.31622776601683805
4,9176.0,204395,mouselab,False,"[0, 0, 0, 0, 0, 0]","[0.46, 0.33, 0.05, 0.16]",4,[],0.0,3R2dgTJvGgi2aDr,0,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",0,259,259,2,"[[13, 46, 259, -75, 39, 30], [15, -44, -10, 89, 76, 22], [131, 34, 128, -15, 35, 83], [13, -56, -114, -80, -31, -61]]",[],,,,instruct2,2,75,0.31622776601683805
4,18464.0,228483,mouselab,False,"[62, -42, 60, -78, -24, 19]","[0.64, 0.33, 0.02, 0.01]",4,"[10167, 10655, 11072, 11335, 11559, 11919, 12575, 12992, 13288, 13552, 13983, 14296, 14632, 14880, 15072, 15600, 15815, 16047, 16263, 16488, 16696, 16920, 17120, 17591]",0.0,sI6tH6AHG2OwKDr,96,"[[41, 22, 90, -40, -15, 44], [104, -174, 6, -165, -44, -29], [58, 118, -11, 55, 57, 70], [59, -70, 14, 102, -60, -68]]",0,22,-74,1,"[[41, 22, 90, -40, -15, 44], [104, -174, 6, -165, -44, -29], [58, 118, -11, 55, 57, 70], [59, -70, 14, 102, -60, -68]]","[6, 7, 0, 12, 13, 18, 20, 14, 8, 2, 1, 3, 4, 10, 9, 16, 15, 21, 22, 23, 17, 11, 5, 19]",,,,instruct3,0,75,0.31622776601683805
4,10096.0,240619,mouselab,False,"[0, -22, -9, 62, -27, 42]","[0.44, 0.06, 0.02, 0.48]",4,"[7149, 7440, 7712, 8200, 8432, 8680, 9096, 9400, 9600, 9808]",0.0,FY7UVEq2c9ayqON,40,"[[0, -56, -7, 130, -59, 90], [0, 37, -91, 75, -10, 41], [0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]",3,135,95,3,"[[-66, -56, -7, 130, -59, 90], [92, 37, -91, 75, -10, 41], [24, -37, 16, 71, 116, -108], [4, -19, 9, 135, -15, 66]]","[1, 7, 9, 3, 2, 8, 10, 11, 5, 4]",,,,instruct3,1,75,0.31622776601683805
4,9088.0,251843,mouselab,False,"[-35, 40, 9, -11, 13, -43]","[0.4200000000000001, 0.03, 0.18, 0.37]",4,"[2344, 2608, 3128, 3448, 3776, 4128, 6840, 7056, 7352, 7616, 7888, 8152]",0.0,vIc698BPf7klCYk,48,"[[-83, 61, -80, -38, 35, -120], [-16, 0, 0, 0, 0, 0], [0, 80, 0, 27, -11, 42], [0, 0, 114, 0, 0, 0]]",0,61,13,1,"[[-83, 61, -80, -38, 35, -120], [-16, -48, 58, -12, 63, -5], [-102, 80, 44, 27, -11, 42], [45, 65, 114, 60, 51, 60]]","[6, 13, 20, 15, 16, 17, 0, 1, 2, 3, 4, 5]",,,,instruct3,2,75,0.31622776601683805
4,4711.0,333059,mouselab,False,"[-3, -23, -45, 75, 99, -5]","[0.029999999999999992, 0.01, 0.77, 0.19]",4,"[2327, 2783, 3207, 3471, 3719, 3927]",0.0,Z6igLUgOZ1o22OJ,24,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0], [-4, -30, -59, 98, 129, -6], [0, 0, 0, 0, 0, 0]]",2,129,105,4,"[[-40, -36, -135, 25, -23, -26], [75, -26, -49, -47, -134, -139], [-4, -30, -59, 98, 129, -6], [72, -44, 39, 7, -30, 7]]","[12, 13, 14, 15, 16, 17]",,,,test,0,75,0.31622776601683805
