sigma,alpha,cost,implicit_cost,payoff,clicks,net_payoff
75.0,10.000000000000009,4.0,0.0,29.48366454818341,3.495,15.503664548183409
150.0,1.0000000000000004,1.0,0.0,118.56542181029718,9.70352,108.86190181029718
75.0,1.0000000000000004,0.0,0.0,59.635757831881854,19.71583,59.635757831881854
75.0,0.31622776601683805,1.0,0.0,70.72477984432273,7.40721,63.317569844322726
150.0,3.1622776601683813,0.0,0.0,104.52747200313605,20.87168,104.52747200313605
150.0,0.10000000000000002,8.0,0.0,159.51076650213608,4.7115,121.81876650213607
150.0,1.0000000000000004,8.0,0.0,100.81103281259962,4.64818,63.62559281259962
150.0,10.000000000000009,8.0,0.0,62.77239414680296,3.9206,31.40759414680296
150.0,3.1622776601683813,1.0,0.0,103.32537820840624,11.44359,91.88178820840623
75.0,0.31622776601683805,8.0,0.0,56.55906799848577,3.13117,31.509707998485773
150.0,0.10000000000000002,1.0,0.0,166.63728022788598,6.64917,159.98811022788598
75.0,0.10000000000000002,1.0,0.0,83.27501158019004,6.26143,77.01358158019003
75.0,3.1622776601683813,4.0,0.0,37.666726975386354,3.99979,21.667566975386354
150.0,1.0000000000000004,4.0,0.0,110.7255791508491,6.33406,85.3893391508491
75.0,0.10000000000000002,8.0,0.0,73.65333527556682,3.5937,44.90373527556682
150.0,3.1622776601683813,2.0,0.0,100.91486384577729,9.84346,81.22794384577729
75.0,3.1622776601683813,1.0,0.0,50.20347943254505,9.40714,40.796339432545054
150.0,0.31622776601683805,1.0,0.0,142.52484808334455,7.88159,134.64325808334456
75.0,1.0000000000000004,4.0,0.0,50.464738024034425,4.6602,31.823938024034426
75.0,10.000000000000009,0.0,0.0,49.12715150338351,21.55157,49.12715150338351
75.0,0.31622776601683805,2.0,0.0,69.67989065304558,6.27093,57.138030653045575
75.0,1.0000000000000004,1.0,0.0,59.007098287815104,9.09281,49.914288287815104
75.0,3.1622776601683813,0.0,0.0,52.37906811801076,21.86285,52.37906811801076
75.0,1.0000000000000004,2.0,0.0,55.12269219480081,6.22478,42.673132194800814
75.0,10.000000000000009,8.0,0.0,21.526416981868724,2.15355,4.298016981868724
75.0,10.000000000000009,2.0,0.0,41.68060057445023,7.48689,26.706820574450234
75.0,10.000000000000009,1.0,0.0,46.96996220182797,11.00849,35.961472201827966
150.0,0.31622776601683805,8.0,0.0,129.91142361730925,4.53724,93.61350361730925
150.0,1.0000000000000004,0.0,0.0,119.20707426412916,18.32333,119.20707426412916
150.0,10.000000000000009,0.0,0.0,98.16023863875793,22.38358,98.16023863875793
150.0,10.000000000000009,2.0,0.0,93.5221230775956,10.84252,71.8370830775956
150.0,0.10000000000000002,0.0,0.0,167.1191470147716,16.14802,167.1191470147716
75.0,0.31622776601683805,4.0,0.0,64.70825254738405,4.47365,46.81365254738405
150.0,1.0000000000000004,2.0,0.0,116.21273219956815,8.13065,99.95143219956816
150.0,3.1622776601683813,8.0,0.0,80.21152352915028,4.61872,43.261763529150286
150.0,0.31622776601683805,4.0,0.0,139.1628835659368,6.21975,114.28388356593679
75.0,3.1622776601683813,2.0,0.0,46.644291587276655,7.09196,32.460371587276654
75.0,1.0000000000000004,8.0,0.0,40.1351591269709,2.77253,17.954919126970896
75.0,0.10000000000000002,4.0,0.0,80.23354885000873,4.97365,60.338948850008734
150.0,10.000000000000009,4.0,0.0,85.64090458331978,8.00555,53.61870458331978
75.0,0.10000000000000002,0.0,0.0,83.39097339195108,16.4977,83.39097339195108
150.0,0.31622776601683805,2.0,0.0,140.7077451594719,6.87446,126.9588251594719
150.0,0.10000000000000002,2.0,0.0,166.09331192590625,6.31842,153.45647192590624
150.0,10.000000000000009,1.0,0.0,95.23996323162196,11.73462,83.50534323162196
75.0,0.31622776601683805,0.0,0.0,71.34235444246147,18.3052,71.34235444246147
150.0,0.10000000000000002,4.0,0.0,163.56088169831216,5.36506,142.10064169831216
150.0,0.31622776601683805,0.0,0.0,142.6698652031283,17.54933,142.6698652031283
150.0,3.1622776601683813,4.0,0.0,93.41186576615925,7.25069,64.40910576615926
75.0,3.1622776601683813,8.0,0.0,26.18122778578885,2.23359,8.31250778578885
75.0,0.10000000000000002,2.0,0.0,80.66534526890791,5.02917,70.60700526890791
75.0,10.000000000000009,4.0,0.1,32.07030472605586,4.0867,15.723504726055857
150.0,1.0000000000000004,1.0,0.1,117.24838744007756,8.70875,108.53963744007757
75.0,1.0000000000000004,0.0,0.1,59.599318430205656,11.39311,59.599318430205656
75.0,0.31622776601683805,1.0,0.1,70.06906230721842,6.63944,63.429622307218416
150.0,3.1622776601683813,0.0,0.1,104.9366143371946,14.68911,104.9366143371946
150.0,0.10000000000000002,8.0,0.1,160.60004511684892,4.90814,121.33492511684892
150.0,1.0000000000000004,8.0,0.1,102.139058409672,4.72824,64.313138409672
150.0,10.000000000000009,8.0,0.1,61.83642400721924,3.83035,31.193624007219242
150.0,3.1622776601683813,1.0,0.1,102.4699801510293,10.93856,91.53142015102931
75.0,0.31622776601683805,8.0,0.1,57.28826612755179,3.24092,31.360906127551793
150.0,0.10000000000000002,1.0,0.1,166.2806755209616,6.60693,159.6737455209616
75.0,0.10000000000000002,1.0,0.1,82.14484010869852,5.85346,76.29138010869852
75.0,3.1622776601683813,4.0,0.1,37.25769397559301,3.89218,21.688973975593008
150.0,1.0000000000000004,4.0,0.1,112.67433106374152,7.08153,84.34821106374152
75.0,0.10000000000000002,8.0,0.1,71.8385773547279,3.44586,44.271697354727905
150.0,3.1622776601683813,2.0,0.1,100.89456286140025,9.91064,81.07328286140024
75.0,3.1622776601683813,1.0,0.1,49.51518934874339,9.07963,40.43555934874339
150.0,0.31622776601683805,1.0,0.1,141.99974344719044,7.81941,134.18033344719043
75.0,1.0000000000000004,4.0,0.1,49.851899873600594,4.52289,31.760339873600593
75.0,10.000000000000009,0.0,0.1,48.98496620447106,15.06443,48.98496620447106
75.0,0.31622776601683805,2.0,0.1,69.29626531614024,6.12556,57.045145316140236
75.0,1.0000000000000004,1.0,0.1,57.73390098492781,7.9361,49.797800984927804
75.0,3.1622776601683813,0.0,0.1,52.309734091844334,14.08519,52.309734091844334
75.0,1.0000000000000004,2.0,0.1,56.246246763635206,6.86111,42.524026763635206
75.0,10.000000000000009,8.0,0.1,21.39090808834781,2.14039,4.26778808834781
75.0,10.000000000000009,2.0,0.1,41.003058859007346,7.11684,26.769378859007347
75.0,10.000000000000009,1.0,0.1,47.042188148685824,11.03187,36.010318148685826
150.0,0.31622776601683805,8.0,0.1,131.50887774926704,4.75807,93.44431774926704
150.0,1.0000000000000004,0.0,0.1,118.93716292348093,12.42692,118.93716292348093
150.0,10.000000000000009,0.0,0.1,98.19669301176971,16.73021,98.19669301176971
150.0,10.000000000000009,2.0,0.1,93.9926891729816,11.00162,71.9894491729816
150.0,0.10000000000000002,0.0,0.1,166.4234808914884,7.61287,166.4234808914884
75.0,0.31622776601683805,4.0,0.1,64.53566053102388,4.44671,46.74882053102388
150.0,1.0000000000000004,2.0,0.1,116.02645642554384,8.00882,100.00881642554384
150.0,3.1622776601683813,8.0,0.1,77.72242333083675,4.31452,43.20626333083675
150.0,0.31622776601683805,4.0,0.1,137.32277311127228,5.79004,114.16261311127228
