sigma,alpha,cost,term_reward,n_revealed
75,10.000000000000009,4,30.370835846448937,3.67747
150,1.0000000000000004,1,117.49250179883728,8.98923
75,1.0000000000000004,0,59.701462982580935,18.83191
75,0.31622776601683805,1,71.19869115022342,7.67142
150,3.1622776601683813,0,104.71292262954317,21.42374
150,0.10000000000000002,8,157.79814901633023,4.53847
150,1.0000000000000004,8,102.34837006535427,4.91614
150,10.000000000000009,8,65.13704594933515,4.28085
150,3.1622776601683813,1,103.15240108595108,11.43615
75,0.31622776601683805,8,58.63932385869054,3.40001
150,0.10000000000000002,1,166.27241239642348,6.32795
75,0.10000000000000002,1,82.85363041789363,5.97109
75,3.1622776601683813,4,37.961140087343445,4.09048
150,1.0000000000000004,4,113.04296909912811,6.99163
75,0.10000000000000002,8,73.48016355859649,3.65718
150,3.1622776601683813,2,101.3728032354256,10.1479
75,3.1622776601683813,1,49.66358916385325,9.10878
150,0.31622776601683805,1,142.46683745590852,7.81367
75,1.0000000000000004,4,49.75308163728852,4.60057
75,10.000000000000009,0,49.183309889871246,21.29808
75,0.31622776601683805,2,68.11145200195064,5.63344
75,1.0000000000000004,1,58.204698901794934,8.43636
75,3.1622776601683813,0,52.258432860575745,20.75396
75,1.0000000000000004,2,55.258907953800204,6.33027
75,10.000000000000009,8,22.567885851907796,2.27529
75,10.000000000000009,2,41.86347653266501,7.58217
75,10.000000000000009,1,45.86847397937805,10.13504
150,0.31622776601683805,8,126.19510585410835,4.16426
150,1.0000000000000004,0,118.98503698540628,20.21783
150,10.000000000000009,0,98.42019378351523,22.0568
150,10.000000000000009,2,91.77778334872502,10.1118
150,0.10000000000000002,0,166.6804753627214,16.1576
75,0.31622776601683805,4,67.40799125503406,5.43315
150,1.0000000000000004,2,115.28081534559011,7.89556
150,3.1622776601683813,8,79.66651413118643,4.58011
150,0.31622776601683805,4,135.77226027622848,5.56792
75,3.1622776601683813,2,47.646656114660225,7.68247
75,1.0000000000000004,8,39.183823569429016,2.74562
75,0.10000000000000002,4,81.63675469012217,5.33011
150,10.000000000000009,4,81.87254056180451,7.23868
75,0.10000000000000002,0,83.5545911994384,16.38981
150,0.31622776601683805,2,140.99237299337483,6.99092
150,0.10000000000000002,2,166.01958952271062,6.10969
150,10.000000000000009,1,97.06295444621736,13.35615
75,0.31622776601683805,0,71.66336603046668,17.18632
150,0.10000000000000002,4,163.83820163574242,5.49809
150,0.31622776601683805,0,142.98977210599588,17.86404
150,3.1622776601683813,4,91.6068901886533,6.73494
75,3.1622776601683813,8,27.867959303542836,2.37257
75,0.10000000000000002,2,82.60586628474488,5.88077
