sigma,alpha,cost,rand,wadd,ttb,sat_ttb,unknown
75,0.10000000000000002,0,0.0,0.07484,0.02791,9.0e-5,0.89716
75,0.10000000000000002,1,0.0,0.0,0.61623,0.16265,0.22112
75,0.10000000000000002,2,0.0,1.0e-5,0.53828,0.16658,0.29513
75,0.10000000000000002,4,0.0,0.0,0.43604,0.26545,0.29851
75,0.10000000000000002,8,0.0,0.0,0.18768,0.63454,0.17778
75,0.31622776601683805,0,0.0,0.08271,0.01466,9.0e-5,0.90254
75,0.31622776601683805,1,0.0,0.00013,0.32567,0.04919,0.62501
75,0.31622776601683805,2,0.0,0.0,0.37639,0.27866,0.34495
75,0.31622776601683805,4,0.0,0.0,0.31504,0.28275,0.40221
75,0.31622776601683805,8,0.0,0.0,0.21572,0.72972,0.05456
75,1.0000000000000004,0,0.0,0.11885,0.00323,3.0e-5,0.87789
75,1.0000000000000004,1,0.0,0.0,0.18034,0.06499,0.75467
75,1.0000000000000004,2,0.0,0.0,0.2232,0.25254,0.52426
75,1.0000000000000004,4,0.0,0.0,0.16386,0.43225,0.40389
75,1.0000000000000004,8,0.0,0.0,0.03585,0.80967,0.15448
75,3.1622776601683813,0,0.0,0.19651,0.00019,2.0e-5,0.80328
75,3.1622776601683813,1,0.0,2.0e-5,0.06711,0.04822,0.88465
75,3.1622776601683813,2,0.0,0.0,0.08619,0.10383,0.80998
75,3.1622776601683813,4,0.0,0.0,0.12565,0.60187,0.27248
75,3.1622776601683813,8,0.0,0.0,0.0219,0.89209,0.08601
75,10.000000000000009,0,0.0,0.24663,0.0,0.0,0.75337
75,10.000000000000009,1,0.0,1.0e-5,0.02431,0.02096,0.95472
75,10.000000000000009,2,0.0,0.0,0.05709,0.11287,0.83004
75,10.000000000000009,4,0.0,0.0,0.0801,0.67335,0.24655
75,10.000000000000009,8,0.0,0.0,0.05032,0.92877,0.02091
150,0.10000000000000002,0,0.0,0.06955,0.02913,4.0e-5,0.90128
150,0.10000000000000002,1,0.0,0.0,0.64392,0.09688,0.2592
150,0.10000000000000002,2,0.0,0.0,0.60631,0.13354,0.26015
150,0.10000000000000002,4,0.0,0.0,0.55851,0.25884,0.18265
150,0.10000000000000002,8,0.0,0.0,0.4426,0.47142,0.08598
150,0.31622776601683805,0,0.0,0.09894,0.01143,2.0e-5,0.88961
150,0.31622776601683805,1,0.0,0.0,0.35375,0.03882,0.60743
150,0.31622776601683805,2,0.0,0.0,0.38436,0.10059,0.51505
150,0.31622776601683805,4,0.0,0.0,0.27187,0.25579,0.47234
150,0.31622776601683805,8,0.0,0.0,0.30102,0.57039,0.12859
150,1.0000000000000004,0,0.0,0.17913,0.00197,0.0,0.8189
150,1.0000000000000004,1,0.0,1.0e-5,0.1307,0.03539,0.8339
150,1.0000000000000004,2,0.0,0.0,0.20431,0.10375,0.69194
150,1.0000000000000004,4,0.0,0.0,0.19036,0.14275,0.66689
150,1.0000000000000004,8,0.0,0.0,0.17911,0.38879,0.4321
150,3.1622776601683813,0,0.0,0.24641,9.0e-5,0.0,0.7535
150,3.1622776601683813,1,0.0,0.00033,0.03741,0.0102,0.95206
150,3.1622776601683813,2,0.0,5.0e-5,0.05766,0.02573,0.91656
150,3.1622776601683813,4,0.0,0.0,0.11692,0.21327,0.66981
150,3.1622776601683813,8,0.0,0.0,0.12099,0.4648,0.41421
150,10.000000000000009,0,0.0,0.31113,0.0,0.0,0.68887
150,10.000000000000009,1,0.0,0.00108,0.00386,0.00124,0.99382
150,10.000000000000009,2,0.0,3.0e-5,0.03019,0.02794,0.94184
150,10.000000000000009,4,0.0,0.0,0.06328,0.1313,0.80542
150,10.000000000000009,8,0.0,0.0,0.09469,0.54226,0.36305
